PLAYER_NAME,PLAYER_NORM,TEAM,season_avg,games,category,team_slate,team_def_key,rank_on_team,leader_side,PLAYER_NAME_split,n_games,n_elite,n_weak,avg_delta_all,avg_delta_vs_elite,avg_delta_vs_weak,avg_delta_vs_mid,def_rank_corr,weak_over_rate,elite_over_rate,def_boost,overperform_vs_weak,fades_vs_elite,player,team,opp_team,prop_norm,line,bet_direction,final_bet_direction,rank_score,edge,tier,slate_opp_def_rank,slate_opp_def_tier,line_hit_rate_over_ou_5,stat_last5_avg,player_norm,on_slate,slate_edge_signal
Tyrese Martin,tyrese martin,BKN,0.1,10,blk,BKN,BKN,3,bottom,Tyrese Martin,7,3,2,0.0006235827664399229,-0.15925925925925927,0.375,-0.13392857142857142,0.3907208037625599,0.5,0.0,0.5342592592592592,False,False,,,,,,,,,,,,,,,,False,False
Nic Claxton,nic claxton,BKN,1.0,30,blk,BKN,BKN,1,top,Nic Claxton,27,8,12,-0.21600174712880268,-0.06384310134310134,0.1485826835607538,-1.0148992234945582,0.10207033784010351,0.5833333333333334,0.5,0.21242578490385514,False,False,,,,,,,,,,,,,,,,False,False
Danny Wolf,danny wolf,BKN,0.7027027027027027,37,blk,BKN,BKN,2,top,Danny Wolf,34,9,13,0.12858741839172058,0.09966719010836655,0.2077880762744286,0.06447687689796901,0.04172343522508238,0.6923076923076923,0.5555555555555556,0.10812088616606205,False,False,,,,,,,,,,,,,,,,False,False
Josh Minott,josh minott,BKN,0.625,8,blk,BKN,BKN,3,top,Josh Minott,8,2,2,0.41809613997114,-0.18333333333333335,0.3263888888888889,0.7646645021645022,0.46455593839412435,0.5,0.0,0.5097222222222222,False,False,,,,,,,,,,,,,,,,False,False
Nic Claxton,nic claxton,BKN,0.06666666666666667,30,fg3m,BKN,BKN,1,bottom,Nic Claxton,27,8,12,-0.06946547918631234,-0.09017741015023623,-0.050426529286178405,-0.07843290077062896,0.1176629892342124,0.08333333333333333,0.0,0.03975088086405782,False,False,,,,,,,,,,,,,,,,False,False
Day'Ron Sharpe,day'ron sharpe,BKN,0.09090909090909091,33,fg3m,BKN,BKN,2,bottom,Day'Ron Sharpe,30,7,13,0.07428279325974911,0.11781809108246696,0.12918717549842776,-0.02756761212643566,0.1191676378180377,0.15384615384615385,0.14285714285714285,0.011369084415960795,False,False,,,,,,,,,,,,,,,,False,False
Ben Saraf,ben saraf,BKN,0.21052631578947367,19,fg3m,BKN,BKN,3,bottom,Ben Saraf,16,4,7,-0.10470459891415773,-0.021428571428571436,-0.17643903715332285,-0.07089720736779559,-0.13131380467731865,0.14285714285714285,0.25,-0.1550104657247514,False,False,,,,,,,,,,,,,,,,False,False
Michael Porter Jr.,michael porter jr.,BKN,3.0,26,fg3m,BKN,BKN,1,top,Michael Porter Jr.,23,8,7,-0.47994524666185967,-0.7062053571428573,0.4503732981993852,-1.0677138629344511,0.26333323878988857,0.42857142857142855,0.25,1.1565786553422424,False,True,,,,,,,,,,,,,,,,False,False
Egor Demin,egor demin,BKN,2.5833333333333335,24,fg3m,BKN,BKN,2,top,Egor Demin,21,6,8,-0.6286396904041559,-1.5319037793294088,-0.6374255952380952,0.15562770562770556,0.11658934886144795,0.25,0.0,0.8944781840913136,False,True,,,,,,,,,,,,,,,,False,False
Noah Clowney,noah clowney,BKN,1.8709677419354838,31,fg3m,BKN,BKN,3,top,Noah Clowney,28,7,11,0.1877999993833194,-0.2456400742115028,0.908558201058201,-0.30162597094267485,0.313021055643592,0.5454545454545454,0.42857142857142855,1.1541982752697038,False,False,,,,,,,,,,,,,,,,False,False
Tyrese Martin,tyrese martin,BKN,8.3,10,pra,BKN,BKN,1,bottom,Tyrese Martin,7,3,2,-1.3687641723356008,-4.092592592592593,2.5,-1.1517857142857144,0.8041137077654196,0.5,0.3333333333333333,6.592592592592593,False,True,,,,,,,,,,,,,,,,False,False
Jalen Wilson,jalen wilson,BKN,8.304347826086957,23,pra,BKN,BKN,2,bottom,Jalen Wilson,20,6,9,0.6068682033910363,-0.6466895849248789,1.547088519018344,0.41874098124098114,0.22879928124675683,0.5555555555555556,0.3333333333333333,2.193778103943223,True,True,,,,,,,,,,,,,,,,False,False
Drake Powell,drake powell,BKN,9.344827586206897,29,pra,BKN,BKN,3,bottom,Drake Powell,26,7,9,-0.10633093470758007,-0.11620971620971662,2.1058261751244207,-2.090357186504885,0.18900576549909506,0.4444444444444444,0.42857142857142855,2.222035891334137,False,False,,,,,,,,,,,,,,,,False,False
Michael Porter Jr.,michael porter jr.,BKN,32.0,26,pra,BKN,BKN,1,top,Michael Porter Jr.,23,8,7,-2.346718453791938,-0.48675595238095193,-2.8091742625904117,-3.802032122504259,0.033592118378636696,0.2857142857142857,0.5,-2.3224183102094598,False,True,,,,,,,,,,,,,,,,False,False
Day'Ron Sharpe,day'ron sharpe,BKN,20.303030303030305,33,pra,BKN,BKN,2,top,Day'Ron Sharpe,30,7,13,-1.2320409425954633,-4.166845734780517,1.090902299958561,-2.197503803386156,0.29724596669503744,0.6923076923076923,0.2857142857142857,5.257748034739078,True,True,,,,,,,,,,,,,,,,False,False
Nic Claxton,nic claxton,BKN,20.3,30,pra,BKN,BKN,3,top,Nic Claxton,27,8,12,0.26742369559513657,-2.9309505560864255,2.5979395247377703,-0.07246143815616486,0.3609884454233876,0.6666666666666666,0.375,5.528890080824196,True,True,,,,,,,,,,,,,,,,False,False
Jalen Wilson,jalen wilson,BKN,5.521739130434782,23,pts,BKN,BKN,1,bottom,Jalen Wilson,20,6,9,0.13317034208481582,-1.0820346320346317,0.4415429599640124,1.0363455988455987,0.17784192909576851,0.5555555555555556,0.3333333333333333,1.523577591998644,True,True,,,,,,,,,,,,,,,,False,False
Ben Saraf,ben saraf,BKN,5.578947368421052,19,pts,BKN,BKN,2,bottom,Ben Saraf,16,4,7,1.8998554652047297,0.98125,2.077882435025292,2.3855020796197266,0.18291276355262037,0.5714285714285714,0.75,1.096632435025292,True,False,,,,,,,,,,,,,,,,False,False
Tyrese Martin,tyrese martin,BKN,5.7,10,pts,BKN,BKN,3,bottom,Tyrese Martin,7,3,2,-1.689455782312925,-3.255555555555555,2.2916666666666665,-3.3214285714285716,0.720099867675362,1.0,0.3333333333333333,5.547222222222222,True,True,,,,,,,,,,,,,,,,False,False
Michael Porter Jr.,michael porter jr.,BKN,22.615384615384617,26,pts,BKN,BKN,1,top,Michael Porter Jr.,23,8,7,-1.6960868795569761,0.24860119047619067,-1.5596232959586993,-3.760180585238635,0.034143662237492524,0.5714285714285714,0.375,-1.80822448643489,False,False,,,,,,,,,,,,,,,,False,False
Noah Clowney,noah clowney,BKN,12.064516129032258,31,pts,BKN,BKN,2,top,Noah Clowney,28,7,11,-0.6977169932724545,-0.9466699966699968,3.108588263588263,-4.710385673440965,0.3415982736238689,0.6363636363636364,0.42857142857142855,4.05525826025826,True,True,,,,,,,,,,,,,,,,False,False
Cam Thomas,cam thomas,BKN,11.5,14,pts,BKN,BKN,3,top,Cam Thomas,11,4,5,-2.6180508885054343,-2.7770833333333336,-2.184199134199134,-3.384615384615385,0.0772188482577209,0.4,0.5,0.5928841991341995,False,True,,,,,,,,,,,,,,,,False,False
