espn_player_id,player_name,team_abbr,position,jersey,status
4426358,Darnell Wright,CHI,OT,58,Active
4240459,Josh Blackwell,CHI,CB,39,Active
4683553,Austin Booker,CHI,DE,94,Active
4239094,Coby Bryant,CHI,S,2,Active
4036261,Devin Bush,CHI,LB,12,Active
4429014,Gervon Dexter Sr.,CHI,DT,99,Active
3121544,T.J. Edwards,CHI,LB,53,Active
4911952,Keyshaun Elliott,CHI,LB,49,Active
4769880,KC Eziomume,CHI,CB,20,Active
4917592,Dallis Flowers,CHI,CB,37,Active
3892883,Neville Gallimore,CHI,DT,90,Active
4240655,Jonathan Garvin,CHI,DE,52,Active
4361093,Kyler Gordon,CHI,CB,6,Active
4361094,Dominique Hampton,CHI,LB,43,Active
4365629,Daniel Hardy,CHI,DE,92,Active
4242402,Elijah Hicks,CHI,S,22,Active
4429970,Ruben Hyppolite II,CHI,LB,47,Active
4241007,D'Marco Jackson,CHI,LB,48,Active
2576492,Grady Jarrett,CHI,DE,50,Active
4243253,Jaylon Johnson,CHI,CB,1,Active
4361748,Anthony Johnson Jr.,CHI,S,23,Active
4047655,Jaylon Jones,CHI,CB,33,Active
4372463,Jamree Kromah,CHI,DE,59,Active
3916577,Cam Lewis,CHI,CB,21,Active
4877376,Jayden Loving,CHI,DT,91,Active
4259181,James Lynch,CHI,DT,97,Active
4430805,Dontae Manning,CHI,CB,27,Active
4372523,Jeremiah Martin,CHI,DE,69,Active
4684963,Wayne Matthews III,CHI,LB,35,Active
4870953,Malik Muhammad,CHI,CB,24,Active
4242659,Dayo Odeyingbo,CHI,DE,55,Active
4567482,Gervarrius Owens,CHI,S,30,Active
4258485,Jon Rhattigan,CHI,LB,46,Active
4372576,Jack Sanborn,CHI,LB,57,Active
4241611,Nephi Sewell,CHI,LB,45,Active
4430822,Noah Sewell,CHI,LB,44,Active
4360935,Terell Smith,CHI,CB,32,Active
4426374,Tyrique Stevenson,CHI,CB,29,Active
