projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,delta_pct,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids
12065345,272442,Conor Timmins,BUF,D,Blocked Shots,1.5,,goblin,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,blocked_shots,SKATER,MTL,1,8479982,False,
12065349,235084,Ivan Demidov,MTL,F,Shots On Goal,1.5,,goblin,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8484984,False,
12065354,220168,Jason Zucker,BUF,F,Shots On Goal,1.5,1.5,standard,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,shots_on_goal,SKATER,MTL,1,8475722,False,
12065361,230933,Josh Norris,BUF,F,Shots On Goal,1.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,MTL,1,8480064,False,
12065364,87735,Kaiden Guhle,MTL,D,Blocked Shots,1.5,,goblin,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,blocked_shots,SKATER,BUF,0,8482087,False,
12065366,218267,Lane Hutson,MTL,D,Blocked Shots,1.5,1.5,standard,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,blocked_shots,SKATER,BUF,0,8483457,False,
12065369,218267,Lane Hutson,MTL,D,Shots On Goal,1.5,1.5,standard,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,shots_on_goal,SKATER,BUF,0,8483457,False,
12065371,92038,Mattias Samuelsson,BUF,D,Blocked Shots,1.5,,goblin,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,blocked_shots,SKATER,MTL,1,8480807,False,
12065379,267670,Noah Dobson,MTL,D,Blocked Shots,1.5,,goblin,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,blocked_shots,SKATER,BUF,0,8480865,False,
12065395,180709,Zach Benson,BUF,F,Shots On Goal,1.5,,goblin,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,MTL,1,8484145,False,
12067198,171835,Alex Newhook,MTL,F,Points,1.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,points,SKATER,BUF,0,8481618,False,
12067199,218653,Alex Tuch,BUF,F,Points,1.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,points,SKATER,MTL,1,8477949,False,
12067200,218266,Cole Caufield,MTL,F,Points,1.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,points,SKATER,BUF,0,8481540,False,
