wnba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,id_status,player_1,player_2,team_1,team_2,is_combo_player
237851,11717430,11717430,237851,150721,2026-05-09T13:00:00.000-04:00,,,Caitlin Clark,G,IND,DAL,11.5,Assists,ast,Demon,6.0,2,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,OK,,,,,0
198928,11717449,11717449,198928,150721,2026-05-09T13:00:00.000-04:00,,,Maddy Siegrist,F,DAL,IND,11.5,Points,pts,Goblin,,1,https://static.prizepicks.com/images/players/NBA/Maddy_Siegrist_WNBA_player_PvhKfiewQCBz5r4ey5IRM2wR.webp,OK,,,,,0
237853,11717405,11717405,237853,150721,2026-05-09T13:00:00.000-04:00,,,Aliyah Boston,C-F,IND,DAL,9.5,Rebounds,reb,Demon,,1,https://static.prizepicks.com/images/players/NBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,OK,,,,,0
315762,11717420,11717420,315762,150721,2026-05-09T13:00:00.000-04:00,,,Azzi Fudd,G,DAL,IND,9.5,Points,pts,Goblin,12.5,2,https://static.prizepicks.com/images/manual/Azzi.png,OK,,,,,0
237851,11717431,11717431,237851,150721,2026-05-09T13:00:00.000-04:00,,,Caitlin Clark,G,IND,DAL,9.5,Assists,ast,Demon,6.0,1,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,OK,,,,,0
198928,11717447,11717447,198928,150721,2026-05-09T13:00:00.000-04:00,,,Maddy Siegrist,F,DAL,IND,9.5,Points,pts,Goblin,,2,https://static.prizepicks.com/images/players/NBA/Maddy_Siegrist_WNBA_player_PvhKfiewQCBz5r4ey5IRM2wR.webp,OK,,,,,0
237851,11717440,11717440,237851,150721,2026-05-09T13:00:00.000-04:00,,,Caitlin Clark,G,IND,DAL,8.5,Rebounds,reb,Demon,3.5,3,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,OK,,,,,0
237836,11717460,11717460,237836,150721,2026-05-09T13:00:00.000-04:00,,,Paige Bueckers,G,DAL,IND,8.5,Assists,ast,Demon,,3,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,OK,,,,,0
237853,11717404,11717404,237853,150721,2026-05-09T13:00:00.000-04:00,,,Aliyah Boston,C-F,IND,DAL,7.5,Rebounds,reb,Goblin,,1,https://static.prizepicks.com/images/players/NBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,OK,,,,,0
237835,11717413,11717413,237835,150721,2026-05-09T13:00:00.000-04:00,,,Arike Ogunbowale,G,DAL,IND,7.5,Assists,ast,Demon,,3,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,OK,,,,,0
