projection_id,pp_projection_id,player_id,pp_game_id,start_time,player,image_url,pos,team,opp_team,pp_home_team,pp_away_team,prop_type,line,pick_type
11717459,11717459,237836,150721,2026-05-09T13:00:00.000-04:00,Paige Bueckers,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,G,DAL,,,,Assists,7.5,Demon
11717412,11717412,237835,150721,2026-05-09T13:00:00.000-04:00,Arike Ogunbowale,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,G,DAL,,,,Assists,6.5,Demon
11717438,11717438,237851,150721,2026-05-09T13:00:00.000-04:00,Caitlin Clark,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,G,IND,,,,Rebounds,6.5,Demon
11717458,11717458,237836,150721,2026-05-09T13:00:00.000-04:00,Paige Bueckers,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,G,DAL,,,,Assists,6.5,Demon
11717465,11717465,237836,150721,2026-05-09T13:00:00.000-04:00,Paige Bueckers,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,G,DAL,,,,Rebounds,6.5,Demon
11717399,11717399,237853,150721,2026-05-09T13:00:00.000-04:00,Aliyah Boston,https://static.prizepicks.com/images/players/NBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,C-F,IND,,,,Assists,5.5,Demon
11717411,11717411,237835,150721,2026-05-09T13:00:00.000-04:00,Arike Ogunbowale,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,G,DAL,,,,Assists,5.5,Demon
11717464,11717464,237836,150721,2026-05-09T13:00:00.000-04:00,Paige Bueckers,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,G,DAL,,,,Rebounds,5.5,Demon
11717428,11717428,237851,150721,2026-05-09T13:00:00.000-04:00,Caitlin Clark,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,G,IND,,,,3-PT Made,4.5,Demon
11717436,11717436,237851,150721,2026-05-09T13:00:00.000-04:00,Caitlin Clark,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,G,IND,,,,Rebounds,4.5,Goblin
11717443,11717443,237852,150721,2026-05-09T13:00:00.000-04:00,Kelsey Mitchell,https://static.prizepicks.com/images/players/NBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,G,IND,,,,3-PT Made,4.5,Demon
11717456,11717456,237836,150721,2026-05-09T13:00:00.000-04:00,Paige Bueckers,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,G,DAL,,,,Assists,4.5,Goblin
11717409,11717409,237835,150721,2026-05-09T13:00:00.000-04:00,Arike Ogunbowale,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,G,DAL,,,,3-PT Made,3.5,Demon
11717410,11717410,237835,150721,2026-05-09T13:00:00.000-04:00,Arike Ogunbowale,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,G,DAL,,,,Assists,3.5,Goblin
11717427,11717427,237851,150721,2026-05-09T13:00:00.000-04:00,Caitlin Clark,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,G,IND,,,,3-PT Made,3.5,Demon
11717437,11717437,237851,150721,2026-05-09T13:00:00.000-04:00,Caitlin Clark,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,G,IND,,,,Rebounds,3.5,Goblin
11717442,11717442,237852,150721,2026-05-09T13:00:00.000-04:00,Kelsey Mitchell,https://static.prizepicks.com/images/players/NBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,G,IND,,,,3-PT Made,3.5,Demon
11717457,11717457,237836,150721,2026-05-09T13:00:00.000-04:00,Paige Bueckers,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,G,DAL,,,,Assists,3.5,Goblin
11739850,11739850,237836,150721,2026-05-09T13:00:00.000-04:00,Paige Bueckers,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,G,DAL,,,,Rebounds,3.5,Goblin
11717408,11717408,237835,150721,2026-05-09T13:00:00.000-04:00,Arike Ogunbowale,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,G,DAL,,,,3-PT Made,2.5,Demon
11717426,11717426,237851,150721,2026-05-09T13:00:00.000-04:00,Caitlin Clark,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,G,IND,,,,3-PT Made,2.5,Goblin
11717455,11717455,237836,150721,2026-05-09T13:00:00.000-04:00,Paige Bueckers,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,G,DAL,,,,3-PT Made,2.5,Demon
11717407,11717407,237835,150721,2026-05-09T13:00:00.000-04:00,Arike Ogunbowale,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,G,DAL,,,,3-PT Made,1.5,Goblin
11717441,11717441,237852,150721,2026-05-09T13:00:00.000-04:00,Kelsey Mitchell,https://static.prizepicks.com/images/players/NBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,G,IND,,,,3-PT Made,1.5,Goblin
11717454,11717454,237836,150721,2026-05-09T13:00:00.000-04:00,Paige Bueckers,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,G,DAL,,,,3-PT Made,1.5,Demon
