espn_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,game_date,player_1,player_2,team_1,team_2,id_status,is_combo_player
286604,12011356,12011356,148460,151607,2026-05-14T13:00:00.000-04:00,,,André Almeida,Midfielder,VALENCIA,,SOCCER,0.5,Goals,goals,Demon,,1,https://static.prizepicks.com/images/players/soccer/9dc4qkvh0vk5kwymibji00kp.webp,2026-05-14,,,,,OK,0
286604,12011357,12011357,148460,151607,2026-05-14T13:00:00.000-04:00,,,André Almeida,Midfielder,VALENCIA,,SOCCER,0.5,Shots On Target,shots_on_target,Demon,,1,https://static.prizepicks.com/images/players/soccer/9dc4qkvh0vk5kwymibji00kp.webp,2026-05-14,,,,,OK,0
231697,12011358,12011358,252401,151607,2026-05-14T13:00:00.000-04:00,,,Eray Cömert,Defender,VALENCIA,,SOCCER,0.5,Goal + Assist,goal_assist,Demon,,1,https://static.prizepicks.com/images/manual/Eray Ervin Cömert.png,2026-05-14,,,,,OK,0
231697,12011360,12011360,252401,151607,2026-05-14T13:00:00.000-04:00,,,Eray Cömert,Defender,VALENCIA,,SOCCER,0.5,Shots On Target,shots_on_target,Demon,,1,https://static.prizepicks.com/images/manual/Eray Ervin Cömert.png,2026-05-14,,,,,OK,0
248681,12011361,12011361,252402,151607,2026-05-14T13:00:00.000-04:00,,,Filip Ugrinic,Midfielder,VALENCIA,,SOCCER,0.5,Assists,assists,Demon,,1,https://static.prizepicks.com/images/players/soccer/94md3wf5xab5mnj5niiwq33zd.webp,2026-05-14,,,,,OK,0
248681,12011363,12011363,252402,151607,2026-05-14T13:00:00.000-04:00,,,Filip Ugrinic,Midfielder,VALENCIA,,SOCCER,0.5,Goal + Assist,goal_assist,Demon,,1,https://static.prizepicks.com/images/players/soccer/94md3wf5xab5mnj5niiwq33zd.webp,2026-05-14,,,,,OK,0
248681,12011364,12011364,252402,151607,2026-05-14T13:00:00.000-04:00,,,Filip Ugrinic,Midfielder,VALENCIA,,SOCCER,0.5,Goals,goals,Demon,,1,https://static.prizepicks.com/images/players/soccer/94md3wf5xab5mnj5niiwq33zd.webp,2026-05-14,,,,,OK,0
248681,12011365,12011365,252402,151607,2026-05-14T13:00:00.000-04:00,,,Filip Ugrinic,Midfielder,VALENCIA,,SOCCER,0.5,Shots On Target,shots_on_target,Demon,,1,https://static.prizepicks.com/images/players/soccer/94md3wf5xab5mnj5niiwq33zd.webp,2026-05-14,,,,,OK,0
140754,12011366,12011366,252160,151607,2026-05-14T13:00:00.000-04:00,,,Florian Lejeune,Defender,RAYO,,SOCCER,0.5,Goal + Assist,goal_assist,Demon,,1,https://static.prizepicks.com/images/players/soccer/533095rnz0k8mxqe6gzn0mfo5.webp,2026-05-14,,,,,OK,0
140754,12011367,12011367,252160,151607,2026-05-14T13:00:00.000-04:00,,,Florian Lejeune,Defender,RAYO,,SOCCER,0.5,Goals,goals,Demon,,1,https://static.prizepicks.com/images/players/soccer/533095rnz0k8mxqe6gzn0mfo5.webp,2026-05-14,,,,,OK,0
140754,12011369,12011369,252160,151607,2026-05-14T13:00:00.000-04:00,,,Florian Lejeune,Defender,RAYO,,SOCCER,0.5,Shots On Target,shots_on_target,Demon,,1,https://static.prizepicks.com/images/players/soccer/533095rnz0k8mxqe6gzn0mfo5.webp,2026-05-14,,,,,OK,0
324505,12011370,12011370,254091,151607,2026-05-14T13:00:00.000-04:00,,,Fran Pérez,Midfielder,RAYO,,SOCCER,0.5,Assists,assists,Demon,,1,https://static.prizepicks.com/images/manual/Francisco_Pérez_Martínez.png,2026-05-14,,,,,OK,0
324505,12011371,12011371,254091,151607,2026-05-14T13:00:00.000-04:00,,,Fran Pérez,Midfielder,RAYO,,SOCCER,0.5,Goal + Assist,goal_assist,Demon,,1,https://static.prizepicks.com/images/manual/Francisco_Pérez_Martínez.png,2026-05-14,,,,,OK,0
