player,team,prop_type,actual
Daniel Jacobsen,PUR,Pts+Rebs,9.0
Daniel Jacobsen,PUR,Pts+Asts,7.0
Daniel Jacobsen,PUR,Rebs+Asts,4.0
Daniel Jacobsen,PUR,Blks+Stls,0.0
Omer Mayer,PUR,Points,18.0
Omer Mayer,PUR,Rebounds,1.0
Omer Mayer,PUR,Assists,2.0
Omer Mayer,PUR,Blocked Shots,0.0
Omer Mayer,PUR,Steals,1.0
Omer Mayer,PUR,Turnovers,0.0
Omer Mayer,PUR,FG Made,6.0
Omer Mayer,PUR,FG Attempted,8.0
Omer Mayer,PUR,3-PT Made,4.0
Omer Mayer,PUR,3-PT Attempted,5.0
Omer Mayer,PUR,Two Pointers Made,2.0
Omer Mayer,PUR,Two Pointers Attempted,3.0
Omer Mayer,PUR,Free Throws Made,2.0
Omer Mayer,PUR,Free Throws Attempted,2.0
Omer Mayer,PUR,Offensive Rebounds,0.0
Omer Mayer,PUR,Defensive Rebounds,1.0
Omer Mayer,PUR,Personal Fouls,2.0
Omer Mayer,PUR,Fantasy Score,30.8
Omer Mayer,PUR,Pts+Rebs+Asts,21.0
Omer Mayer,PUR,PRA,21.0
Omer Mayer,PUR,Pts+Rebs,19.0
Omer Mayer,PUR,Pts+Asts,20.0
Omer Mayer,PUR,Rebs+Asts,3.0
Omer Mayer,PUR,Blks+Stls,1.0
Jack Lusk,PUR,Points,0.0
Jack Lusk,PUR,Rebounds,0.0
Jack Lusk,PUR,Assists,0.0
Jack Lusk,PUR,Blocked Shots,0.0
Jack Lusk,PUR,Steals,0.0
Jack Lusk,PUR,Turnovers,0.0
Jack Lusk,PUR,FG Made,0.0
Jack Lusk,PUR,FG Attempted,0.0
Jack Lusk,PUR,3-PT Made,0.0
Jack Lusk,PUR,3-PT Attempted,0.0
Jack Lusk,PUR,Two Pointers Made,0.0
Jack Lusk,PUR,Two Pointers Attempted,0.0
Jack Lusk,PUR,Free Throws Made,0.0
Jack Lusk,PUR,Free Throws Attempted,0.0
Jack Lusk,PUR,Offensive Rebounds,0.0
Jack Lusk,PUR,Defensive Rebounds,0.0
Jack Lusk,PUR,Personal Fouls,0.0
Jack Lusk,PUR,Fantasy Score,0.0
Jack Lusk,PUR,Pts+Rebs+Asts,0.0
Jack Lusk,PUR,PRA,0.0
Jack Lusk,PUR,Pts+Rebs,0.0
Jack Lusk,PUR,Pts+Asts,0.0
Jack Lusk,PUR,Rebs+Asts,0.0
Jack Lusk,PUR,Blks+Stls,0.0
Aaron Fine,PUR,Points,2.0
Aaron Fine,PUR,Rebounds,0.0
Aaron Fine,PUR,Assists,1.0
Aaron Fine,PUR,Blocked Shots,0.0
Aaron Fine,PUR,Steals,0.0
Aaron Fine,PUR,Turnovers,0.0
Aaron Fine,PUR,FG Made,1.0
Aaron Fine,PUR,FG Attempted,1.0
Aaron Fine,PUR,3-PT Made,0.0
Aaron Fine,PUR,3-PT Attempted,0.0
Aaron Fine,PUR,Two Pointers Made,1.0
Aaron Fine,PUR,Two Pointers Attempted,1.0
Aaron Fine,PUR,Free Throws Made,0.0
Aaron Fine,PUR,Free Throws Attempted,0.0
Aaron Fine,PUR,Offensive Rebounds,0.0
Aaron Fine,PUR,Defensive Rebounds,0.0
Aaron Fine,PUR,Personal Fouls,1.0
Aaron Fine,PUR,Fantasy Score,3.5
Aaron Fine,PUR,Pts+Rebs+Asts,3.0
Aaron Fine,PUR,PRA,3.0
Aaron Fine,PUR,Pts+Rebs,2.0
Aaron Fine,PUR,Pts+Asts,3.0
Aaron Fine,PUR,Rebs+Asts,1.0
Aaron Fine,PUR,Blks+Stls,0.0
Jace Rayl,PUR,Points,0.0
Jace Rayl,PUR,Rebounds,0.0
Jace Rayl,PUR,Assists,0.0
Jace Rayl,PUR,Blocked Shots,0.0
Jace Rayl,PUR,Steals,0.0
Jace Rayl,PUR,Turnovers,0.0
Jace Rayl,PUR,FG Made,0.0
Jace Rayl,PUR,FG Attempted,0.0
Jace Rayl,PUR,3-PT Made,0.0
Jace Rayl,PUR,3-PT Attempted,0.0
Jace Rayl,PUR,Two Pointers Made,0.0
Jace Rayl,PUR,Two Pointers Attempted,0.0
Jace Rayl,PUR,Free Throws Made,0.0
Jace Rayl,PUR,Free Throws Attempted,0.0
Jace Rayl,PUR,Offensive Rebounds,0.0
Jace Rayl,PUR,Defensive Rebounds,0.0
Jace Rayl,PUR,Personal Fouls,0.0
Jace Rayl,PUR,Fantasy Score,0.0
Jace Rayl,PUR,Pts+Rebs+Asts,0.0
Jace Rayl,PUR,PRA,0.0
Jace Rayl,PUR,Pts+Rebs,0.0
Jace Rayl,PUR,Pts+Asts,0.0
Jace Rayl,PUR,Rebs+Asts,0.0
Jace Rayl,PUR,Blks+Stls,0.0
Jack Benter,PUR,Points,0.0
Jack Benter,PUR,Rebounds,1.0
Jack Benter,PUR,Assists,1.0
Jack Benter,PUR,Blocked Shots,0.0
Jack Benter,PUR,Steals,1.0
Jack Benter,PUR,Turnovers,1.0
Jack Benter,PUR,FG Made,0.0
Jack Benter,PUR,FG Attempted,3.0
Jack Benter,PUR,3-PT Made,0.0
Jack Benter,PUR,3-PT Attempted,3.0
Jack Benter,PUR,Two Pointers Made,0.0
Jack Benter,PUR,Two Pointers Attempted,0.0
Jack Benter,PUR,Free Throws Made,0.0
Jack Benter,PUR,Free Throws Attempted,1.0
Jack Benter,PUR,Offensive Rebounds,0.0
Jack Benter,PUR,Defensive Rebounds,1.0
Jack Benter,PUR,Personal Fouls,2.0
Jack Benter,PUR,Fantasy Score,4.2
Jack Benter,PUR,Pts+Rebs+Asts,2.0
Jack Benter,PUR,PRA,2.0
Jack Benter,PUR,Pts+Rebs,1.0
Jack Benter,PUR,Pts+Asts,1.0
Jack Benter,PUR,Rebs+Asts,2.0
Jack Benter,PUR,Blks+Stls,1.0
Gicarri Harris,PUR,Points,6.0
Gicarri Harris,PUR,Rebounds,3.0
Gicarri Harris,PUR,Assists,0.0
Gicarri Harris,PUR,Blocked Shots,0.0
Gicarri Harris,PUR,Steals,0.0
Gicarri Harris,PUR,Turnovers,0.0
Gicarri Harris,PUR,FG Made,2.0
Gicarri Harris,PUR,FG Attempted,5.0
Gicarri Harris,PUR,3-PT Made,1.0
Gicarri Harris,PUR,3-PT Attempted,2.0
Gicarri Harris,PUR,Two Pointers Made,1.0
Gicarri Harris,PUR,Two Pointers Attempted,3.0
Gicarri Harris,PUR,Free Throws Made,1.0
Gicarri Harris,PUR,Free Throws Attempted,2.0
Gicarri Harris,PUR,Offensive Rebounds,0.0
Gicarri Harris,PUR,Defensive Rebounds,3.0
Gicarri Harris,PUR,Personal Fouls,4.0
Gicarri Harris,PUR,Fantasy Score,10.2
Gicarri Harris,PUR,Pts+Rebs+Asts,9.0
Gicarri Harris,PUR,PRA,9.0
Gicarri Harris,PUR,Pts+Rebs,9.0
Gicarri Harris,PUR,Pts+Asts,6.0
Gicarri Harris,PUR,Rebs+Asts,3.0
Gicarri Harris,PUR,Blks+Stls,0.0
Lazar Djokovic,VCU,Points,19.0
Lazar Djokovic,VCU,Rebounds,7.0
Lazar Djokovic,VCU,Assists,1.0
Lazar Djokovic,VCU,Blocked Shots,2.0
Lazar Djokovic,VCU,Steals,2.0
Lazar Djokovic,VCU,Turnovers,5.0
Lazar Djokovic,VCU,FG Made,6.0
Lazar Djokovic,VCU,FG Attempted,13.0
Lazar Djokovic,VCU,3-PT Made,2.0
Lazar Djokovic,VCU,3-PT Attempted,6.0
Lazar Djokovic,VCU,Two Pointers Made,4.0
Lazar Djokovic,VCU,Two Pointers Attempted,7.0
Lazar Djokovic,VCU,Free Throws Made,5.0
Lazar Djokovic,VCU,Free Throws Attempted,7.0
Lazar Djokovic,VCU,Offensive Rebounds,4.0
Lazar Djokovic,VCU,Defensive Rebounds,3.0
Lazar Djokovic,VCU,Personal Fouls,3.0
Lazar Djokovic,VCU,Fantasy Score,40.2
Lazar Djokovic,VCU,Pts+Rebs+Asts,27.0
Lazar Djokovic,VCU,PRA,27.0
Lazar Djokovic,VCU,Pts+Rebs,26.0
Lazar Djokovic,VCU,Pts+Asts,20.0
Lazar Djokovic,VCU,Rebs+Asts,8.0
Lazar Djokovic,VCU,Blks+Stls,4.0
Barry Evans,VCU,Points,6.0
Barry Evans,VCU,Rebounds,8.0
Barry Evans,VCU,Assists,1.0
Barry Evans,VCU,Blocked Shots,0.0
Barry Evans,VCU,Steals,0.0
