player_name,star_tier,team_abbreviation,notes
Victoria Macaulay,2,NIGER,Reliable starter
Yuuna Onodera,2,TOY,Reliable starter
Yvonne Anderson,2,CON,Reliable starter
Aari McDonald,3,ATL,Role player
Aaronette Vonleh,3,DAL,Role player
Aisha Sheppard,3,PHX,Role player
Ajae Petty,3,DAL,Role player
Alissa Pili,3,MIN,Role player
Alysha Clark,3,SEA,Role player
Amaya Battle,3,MIN,Role player
Amelia Hassett,3,LAS,Role player
Anastasiia Olairi Kosu,3,MIN,Role player
Aneesah Morrow,3,CON,Role player
Angela Dugalic,3,WSH,Role player
Anna Makurat,3,PHX,Role player
Annika Soltau,3,NYL,Role player
Arella Guirantes,3,CHI,Role player
Ashley Joens,3,ATL,Role player
Ashley Owusu,3,NYL,Role player
Aubrey Griffin,3,MIN,Role player
Awak Kuier,3,DAL,Role player
Beatrice Mompremier,3,SEA,Role player
Bella Fontleroy,3,ATL,Role player
Bella Nascimento,3,BRZL,Role player
Blessing Ejiofor,3,NIGER,Role player
Bree Hall,3,IND,Role player
Brianna Fraser,3,SEA,Role player
Brianna Turner,3,LVA,Role player
Caitlin Bickle,3,CON,Role player
Cameron Brink,3,LAS,Role player
Camryn Taylor,3,MIN,Role player
Caroline Ducharme,3,GSV,Role player
Cate Reese,3,GSV,Role player
Chance Gray,3,LAS,Role player
Cheyenne Parker-Tyus,3,LVA,Role player
Christeen Iwuala,3,WSH,Role player
Christyn Williams,3,DAL,Role player
Costanza Verona,3,DAL,Role player
Crystal Bradford,3,LVA,Role player
Damiris Dantas,3,IND,Role player
Darianna Littlepage-Buggs,3,WSH,Role player
Deja Kelly,3,LVA,Role player
Dulcy Fankam Mendjiadeu,3,DAL,Role player
Eliska Hamzova,3,MIN,Role player
Elissa Cunane,3,GSV,Role player
Elizabeth Kitley,3,LVA,Role player
Elle Ladine,3,SEA,Role player
Emani Jefferson,3,ATL,Role player
Emese Hof,3,MIN,Role player
Emma Cannon,3,LAS,Role player
Esmery Martinez,3,NYL,Role player
Grace VanSlooten,3,SEA,Role player
Haley Jones,3,ATL,Role player
Haley Peters,3,CON,Role player
Indya Nivar,3,ATL,Role player
Isabelle Harrison,3,NYL,Role player
Isobel Borlase,3,ATL,Role player
Iza Varejao,3,BRZL,Role player
Jade Masogayo,3,MIN,Role player
Jaelyn Brown,3,IND,Role player
Jalyn Brown,3,SEA,Role player
Janiah Barker,3,LVA,Role player
Jaylyn Sherrod,3,NYL,Role player
Jemi Klaku,3,NIGER,Role player
Jerni Kiaku,3,NIGER,Role player
Jessica Timmons,3,IND,Role player
Jessika Carter,3,CHI,Role player
Jihyun Park,3,LAS,Role player
Jillian Alleyne,3,IND,Role player
JoJo Lacey,3,WSH,Role player
Jordan Hobbs,3,CHI,Role player
Jordan Obi,3,LVA,Role player
Joyner Holmes,3,DAL,Role player
Juste Jocyte,3,GSV,Role player
Justine Pissott,3,IND,Role player
Kaitlyn Chen,3,GSV,Role player
Kalani Brown,3,PHX,Role player
Kamaria McDaniel,3,WSH,Role player
Kamila Borkowska,3,CON,Role player
Kara Dunn,3,PHX,Role player
Kariata Diaby,3,CON,Role player
Kayana Traylor,3,IND,Role player
Khadijiah Cave,3,WSH,Role player
Kiana Williams,3,PHX,Role player
Kierstan Bell,3,LVA,Role player
Kristy Wallace,3,IND,Role player
Kyara Linskens,3,PHX,Role player
Kyla Oldacre,3,CON,Role player
Kyra Lambert,3,IND,Role player
Laeticia Amihere,3,GSV,Role player
Laila Phelia,3,ATL,Role player
Lani White,3,MIN,Role player
Latasha Lattimore,3,CHI,Role player
Laura Ziegler,3,LAS,Role player
Lauren Jensen,3,PHX,Role player
Leaonna Odom,3,NYL,Role player
Lexie Brown,3,LAS,Role player
Lucy Olsen,3,WSH,Role player
Mackenzie Holmes,3,SEA,Role player
Maddy Westbeld,3,CHI,Role player
Madison Conner,3,SEA,Role player
Madison Hayes,3,CON,Role player
Madison Scott,3,DAL,Role player
Maggie Doogan,3,PHX,Role player
Makayla Timpson,3,IND,Role player
Mamignan Toure,3,GSV,Role player
Maria Gakdeng,3,ATL,Role player
Maria Kliundikova,3,MIN,Role player
Mariella Fasoula,3,GSV,Role player
Marieme Badiane,3,MIN,Role player
Marquesha Davis,3,CHI,Role player
Maryam Dauda,3,NIGER,Role player
Maya Caldwell,3,ATL,Role player
McKenzie Forbes,3,DAL,Role player
Megan Gustafson,3,LVA,Role player
Megan McConnell,3,PHX,Role player
Megan Nestor,3,CHI,Role player
Mercedes Russell,3,LAS,Role player
Miela Sowah,3,GSV,Role player
Mikiah Herbert Harrigan,3,DAL,Role player
Morgan Bertsch,3,CHI,Role player
Morgan Jones,3,WSH,Role player
Moriah Jefferson,3,CHI,Role player
Murjanatu Musa,3,PHX,Role player
Ndjakalenga Mwenentanda,3,GSV,Role player
Nikolina Milic,3,TOR,Role player
Nora Ezike,3,NIGER,Role player
Nyla Harris,3,WSH,Role player
Peyton Williams,3,POR,Role player
Queen Egbo,3,LVA,Role player
Ra Shaya Kyle,3,MIN,Role player
Raegan Beers,3,CON,Role player
Raven Johnson,3,IND,Role player
Rayah Marshall,3,CON,Role player
Rebekah Gardner,3,NYL,Role player
Regina Donanu,3,NIGER,Role player
Reigan Richardson,3,MIN,Role player
Rennia Davis,3,SEA,Role player
Ririka Okuyama,3,JPN,Role player
Robyn Parks,3,CON,Role player
Sacha Washington,3,ATL,Role player
Sakima Walker,3,MIN,Role player
Sammie Puisis,3,CHI,Role player
Sania Feagin,3,LAS,Role player
Serah Williams,3,POR,Role player
Sha Carter,3,PHX,Role player
Shaneice Swain,3,LAS,Role player
Shay Ciezki,3,PHX,Role player
Shyanne Sellers,3,ATL,Role player
Shyla Heal,3,PHX,Role player
Sidney Cooks,3,CHI,Role player
Sika Kone,3,WSH,Role player
Suzie Rafiu,3,NIGER,Role player
Suzuno Higuchi,3,JPN,Role player
Sydney Taylor,3,CHI,Role player
Ta'Niya Latson,3,LAS,Role player
Taissa Queiroz,3,BRZL,Role player
Taylor Bigby,3,CON,Role player
Taylor Thierry,3,ATL,Role player
Temi Fagbenle,3,IND,Role player
Temira Poindexter,3,PHX,Role player
Tiffany Mitchell,3,LVA,Role player
Tilly Boler,3,CHI,Role player
Tonie Morgan,3,CHI,Role player
Vitoria Marcelino,3,BRZL,Role player
Yvonne Ejim,3,IND,Role player
Zaay Green,3,WSH,Role player
Zia Cooke,3,SEA,Role player
