sport_disp,prop,direction,pick_type,line_bucket,n,hits,mean_ml,context_known_rate,defense_known_rate,minutes_known_rate,hit_rate
NBA1Q,Points,OVER,Goblin,micro,89,89.0,0.9116386504800376,1.0,1.0,0.033707865168539325,1.0
NBA1Q,Assists,OVER,Standard,micro,78,75.0,0.9008898647555532,1.0,1.0,0.38461538461538464,0.9615384615384616
NBA1Q,Assists,OVER,Standard,low,60,44.0,0.8224101222240331,1.0,1.0,0.3333333333333333,0.7333333333333333
NBA1Q,Rebounds,OVER,Standard,micro,54,53.0,0.9135640951640495,1.0,1.0,0.37037037037037035,0.9814814814814815
NBA1Q,Assists,OVER,Demon,mid,52,18.0,0.8835373423646287,1.0,1.0,0.6538461538461539,0.34615384615384615
NBA1Q,Rebounds,OVER,Demon,micro,51,49.0,0.9077977093453974,1.0,1.0,0.37254901960784315,0.9607843137254902
NBA1Q,Points,UNDER,Standard,mid,49,21.0,0.545626530612245,1.0,1.0,0.0,0.42857142857142855
NBA1Q,Points,UNDER,Standard,low,32,12.0,0.67204375,1.0,1.0,0.0,0.375
NBA1Q,Rebounds,UNDER,Standard,low,26,11.0,0.6859538461538462,1.0,1.0,0.0,0.4230769230769231
NBA1Q,Points,OVER,Demon,micro,20,19.0,0.9123434413680801,1.0,1.0,0.1,0.95
NBA1Q,Points,OVER,Standard,micro,20,20.0,0.9155374005685787,1.0,1.0,0.2,1.0
NBA1Q,3-PT Made,UNDER,Standard,micro,15,0.0,0.92044,1.0,1.0,0.0,0.0
NHL,Goals,OVER,,micro,32345,12256.0,,1.0,0.0,0.0,0.3789148245478436
NHL,Goals,UNDER,,micro,32345,20089.0,,1.0,0.0,0.0,0.6210851754521565
NHL,Assists,OVER,,micro,32285,12309.0,,1.0,0.0,0.0,0.38126064735945486
NHL,Assists,UNDER,,micro,32285,19976.0,,1.0,0.0,0.0,0.6187393526405451
NHL,Points,OVER,,micro,28649,11486.0,,1.0,0.0,0.0,0.40092149813257005
NHL,Points,UNDER,,micro,28649,17163.0,,1.0,0.0,0.0,0.59907850186743
NHL,Shots,OVER,,low,23031,9302.0,,1.0,0.0,0.0,0.40389040857974035
NHL,Shots,UNDER,,low,23031,13729.0,,1.0,0.0,0.0,0.5961095914202597
NHL,Shots,OVER,,micro,7000,4513.0,,1.0,0.0,0.0,0.6447142857142857
NHL,Shots,UNDER,,micro,7000,2487.0,,1.0,0.0,0.0,0.35528571428571426
NHL,goals,OVER,,micro,5782,1090.0,0.20876900422309527,1.0,0.0,0.0,0.18851608439986164
NHL,assists,OVER,,micro,4508,1274.0,0.25931596532750695,1.0,0.0,0.0,0.2826086956521739
