sport,direction,pick_type,prop,bin_index,mean_pred,mean_true,gap,n_stratum,flagged
CBB,OVER,Standard,ra,3,0.5437922997130324,0.36666666666666664,0.1771256330463658,251,True
CBB,OVER,Standard,ra,4,0.6154628432854742,0.45,0.16546284328547417,251,True
CBB,OVER,Standard,ra,5,0.8218977932733408,0.6,0.2218977932733408,251,True
CBB,OVER,Standard,ra,6,0.9009564496270921,0.46153846153846156,0.43941798808863053,251,True
CBB,OVER,Standard,ra,7,0.9057499782280635,0.2916666666666667,0.6140833115613968,251,True
CBB,OVER,Standard,ra,8,0.9078625245920362,0.32,0.5878625245920361,251,True
CBB,OVER,Standard,ra,9,0.9095107303487207,0.56,0.3495107303487206,251,True
CBB,OVER,Standard,reb,0,0.22165716671239435,0.3181818181818182,0.09652465146942382,215,True
CBB,OVER,Standard,reb,3,0.5227734313809514,0.26666666666666666,0.2561067647142848,215,True
CBB,OVER,Standard,reb,4,0.5595773874488147,0.3333333333333333,0.22624405411548137,215,True
CBB,OVER,Standard,reb,5,0.6057756693454585,0.2857142857142857,0.32006138363117276,215,True
CBB,OVER,Standard,reb,6,0.7494387603653185,0.42857142857142855,0.32086733179389,215,True
CBB,OVER,Standard,reb,7,0.8994720206361727,0.4090909090909091,0.4903811115452636,215,True
CBB,OVER,Standard,reb,8,0.9058992382207562,0.2857142857142857,0.6201849525064705,215,True
CBB,OVER,Standard,reb,9,0.9091371299306943,0.5,0.4091371299306943,215,True
CBB,OVER,Standard,stl,0,0.3950573133864145,0.26666666666666666,0.12839064671974781,117,True
CBB,OVER,Standard,stl,1,0.543034423065596,0.6923076923076923,0.14927326924209627,117,True
CBB,OVER,Standard,stl,2,0.6078257925531625,0.875,0.2671742074468375,117,True
CBB,OVER,Standard,stl,3,0.6458671529613255,0.36363636363636365,0.2822307893249618,117,True
CBB,OVER,Standard,stl,5,0.7737812365374562,0.6363636363636364,0.13741760017381988,117,True
CBB,OVER,Standard,stl,6,0.7878666418976644,0.6666666666666666,0.12119997523099779,117,True
CBB,OVER,Standard,stl,7,0.8573133506575042,0.45454545454545453,0.4027678961120497,117,True
CBB,OVER,Standard,stl,8,0.9074584578482588,0.5,0.40745845784825885,117,True
CBB,OVER,Standard,stl,9,0.916434500891881,0.6666666666666666,0.24976783422521442,117,True
CBB,UNDER,Standard,pa,0,0.40461772314497413,0.3,0.10461772314497414,393,True
CBB,UNDER,Standard,pa,8,0.6472661373771378,0.8717948717948718,0.22452873441773402,393,True
CBB,UNDER,Standard,pr,1,0.46590111422017505,0.38,0.08590111422017505,498,True
CBB,UNDER,Standard,pr,6,0.5881702879148168,0.6851851851851852,0.09701489727036838,498,True
CBB,UNDER,Standard,pra,9,0.7892553928322417,0.9375,0.14824460716775834,474,True
CBB,UNDER,Standard,pts,0,0.4202651455462619,0.32608695652173914,0.09417818902452274,454,True
CBB,UNDER,Standard,ra,0,0.44983724987630047,0.5806451612903226,0.13080791141402215,307,True
CBB,UNDER,Standard,ra,8,0.5941266312897407,0.7096774193548387,0.115550788065098,307,True
CBB,UNDER,Standard,ra,9,0.6589305016903944,0.7741935483870968,0.1152630466967024,307,True
CBB,UNDER,Standard,reb,1,0.48996506603587126,0.5862068965517241,0.09624183051585283,290,True
CBB,UNDER,Standard,reb,6,0.5746129697552057,0.7931034482758621,0.2184904785206564,290,True
CBB,UNDER,Standard,reb,8,0.6047286963445775,0.7241379310344828,0.11940923468990527,290,True
MLB,OVER,Goblin,Hits,0,0.3573850534927826,0.5852737570799245,0.22788870358714186,12076,True
MLB,OVER,Goblin,Hits,1,0.4820436241610759,0.6040268456375839,0.12198322147650803,12076,True
MLB,OVER,Goblin,Hits,2,0.5352583264291653,0.6263463131731566,0.09108798674399132,12076,True
MLB,OVER,Goblin,Hits,5,0.7190701508620679,0.5786637931034483,0.14040635775861965,12076,True
MLB,OVER,Goblin,Hits,6,0.7867929328621882,0.5530035335689046,0.23378939929328357,12076,True
MLB,OVER,Goblin,Hits,7,0.9673992430613968,0.6013456686291001,0.3660535744322967,12076,True
MLB,OVER,Goblin,Hits Allowed,0,0.3528383561643837,0.6746575342465754,0.3218191780821917,1240,True
MLB,OVER,Goblin,Hits Allowed,1,0.41359268292682916,0.6585365853658537,0.24494390243902453,1240,True
MLB,OVER,Goblin,Hits Allowed,2,0.477633606557377,0.6721311475409836,0.19449754098360655,1240,True
MLB,OVER,Goblin,Hits Allowed,3,0.529980891719746,0.6878980891719745,0.15791719745222843,1240,True
MLB,OVER,Goblin,Hits Allowed,5,0.7801102702702744,0.6594594594594595,0.12065081081081486,1240,True
MLB,OVER,Goblin,Hits Allowed,6,0.8851400000000001,0.6533333333333333,0.23180666666666683,1240,True
MLB,OVER,Goblin,Hits+Runs+RBIs,1,0.791500000000001,0.5862068965517241,0.2052931034482769,3113,True
MLB,OVER,Goblin,Hits+Runs+RBIs,2,0.8500879999999986,0.6044444444444445,0.24564355555555417,3113,True
MLB,OVER,Goblin,Hits+Runs+RBIs,3,0.9992543925233649,0.6588785046728972,0.3403758878504677,3113,True
MLB,OVER,Goblin,Hitter Strikeouts,0,0.37912778929906243,0.6105350476980506,0.23140725839898812,8071,True
MLB,OVER,Goblin,Hitter Strikeouts,1,0.44657333333333327,0.5666666666666667,0.12009333333333339,8071,True
MLB,OVER,Goblin,Hitter Strikeouts,2,0.5167228159457105,0.6005089058524173,0.08378608990670688,8071,True
MLB,OVER,Goblin,Hitter Strikeouts,3,0.5328325791855182,0.6244343891402715,0.09160180995475331,8071,True
MLB,OVER,Goblin,Hitter Strikeouts,6,0.7747328409090972,0.6,0.17473284090909724,8071,True
MLB,OVER,Goblin,Hitter Strikeouts,7,0.9900673602080622,0.6469440832249674,0.34312327698309475,8071,True
MLB,OVER,Goblin,Pitcher Fantasy Score,1,0.6283157894736842,0.7368421052631579,0.10852631578947369,225,True
MLB,OVER,Goblin,Pitcher Fantasy Score,2,0.6605739130434785,0.782608695652174,0.12203478260869549,225,True
MLB,OVER,Goblin,Pitcher Strikeouts,0,0.3368727272727271,0.6303030303030303,0.29343030303030315,1393,True
MLB,OVER,Goblin,Pitcher Strikeouts,1,0.44246136363636385,0.625,0.18253863636363615,1393,True
MLB,OVER,Goblin,Pitcher Strikeouts,2,0.5279446808510638,0.7021276595744681,0.17418297872340427,1393,True
MLB,OVER,Goblin,Pitcher Strikeouts,4,0.6415634146341466,0.7560975609756098,0.1145341463414632,1393,True
MLB,OVER,Goblin,Pitcher Strikeouts,6,0.7893355400696915,0.6480836236933798,0.14125191637631174,1393,True
MLB,OVER,Goblin,Pitcher Strikeouts,7,0.8870710937499993,0.6640625,0.22300859374999926,1393,True
MLB,OVER,Goblin,Pitches Thrown,0,0.327365,0.675,0.347635,374,True
