sport_disp,pipeline_group,tier_group,prop,direction,pick_type_group,def_tier_norm,line_bucket,n,hits,mean_ml,context_known_rate,defense_known_rate,minutes_known_rate,hit_rate
NBA,NBA,A,Rebounds,OVER,Goblin,Weak,high,17,14.0,0.898136682459033,1.0,1.0,1.0,0.8235294117647058
NBA,NBA,B,Pts+Rebs,UNDER,Standard UNDER,Above Avg,xl,17,9.0,0.36314929288384584,1.0,1.0,1.0,0.5294117647058824
NBA,NBA,B,Pts+Rebs+Asts,UNDER,Standard UNDER,Above Avg,xl,17,9.0,0.3432295649526934,1.0,1.0,1.0,0.5294117647058824
NBA,NBA,C,Blks+Stls,UNDER,Standard UNDER,Above Avg,low,17,7.0,0.5019200421181161,1.0,1.0,1.0,0.4117647058823529
NBA,NBA,C,Pts+Rebs,UNDER,Standard UNDER,Avg,xl,17,10.0,0.5789000816597399,1.0,1.0,1.0,0.5882352941176471
NBA,NBA,C,Pts+Rebs,UNDER,Standard UNDER,Weak,xl,17,8.0,0.645991031628326,1.0,1.0,1.0,0.47058823529411764
NBA,NBA,C,Pts+Rebs+Asts,UNDER,Standard UNDER,Above Avg,xl,17,13.0,0.528326946187581,1.0,1.0,1.0,0.7647058823529411
NBA,NBA,D,Assists,OVER,Goblin,Weak,micro,17,11.0,0.6882184989355328,1.0,1.0,1.0,0.6470588235294118
NBA,NBA,A,Fantasy Score,OVER,Demon,Weak,xl,16,5.0,0.8916962947265263,1.0,1.0,1.0,0.3125
NBA,NBA,A,Pts+Rebs,UNDER,Standard UNDER,Weak,xl,16,11.0,0.628475019527118,1.0,1.0,1.0,0.6875
NBA,NBA,A,Steals,UNDER,Standard UNDER,Above Avg,micro,16,5.0,0.567188981904684,1.0,1.0,1.0,0.3125
NBA,NBA,B,Pts+Rebs+Asts,UNDER,Standard UNDER,Elite,xl,16,6.0,0.4144621277017117,1.0,1.0,1.0,0.375
NBA,NBA,C,Points,UNDER,Standard UNDER,Elite,xl,16,6.0,0.5964615384615385,1.0,1.0,1.0,0.375
NBA,NBA,D,Pts+Asts,OVER,Goblin,Weak,mid,16,12.0,0.7788459437850266,1.0,1.0,1.0,0.75
NBA,NBA,D,Rebs+Asts,OVER,Demon,Elite,low,16,5.0,0.5351303637413601,1.0,1.0,1.0,0.3125
NBA,NBA,D,Two Pointers Made,OVER,Standard OVER,Weak,low,16,7.0,0.546686521211495,1.0,1.0,1.0,0.4375
NBA,NBA,A,Blocked Shots,OVER,Goblin,Elite,micro,15,13.0,0.8205374751344573,1.0,1.0,1.0,0.8666666666666667
NBA,NBA,B,Points,OVER,Standard OVER,Avg,mid,15,5.0,0.6792582134615179,1.0,1.0,1.0,0.3333333333333333
NBA,NBA,C,Fantasy Score,OVER,Demon,Weak,xl,15,7.0,0.8570783428369652,1.0,1.0,1.0,0.4666666666666667
NBA,NBA,C,Pts+Rebs,UNDER,Standard UNDER,Above Avg,xl,15,8.0,0.5593409247108628,1.0,1.0,1.0,0.5333333333333333
NBA,NBA,D,Free Throws Made,OVER,Standard OVER,Weak,micro,15,6.0,0.5797720899452599,1.0,1.0,1.0,0.4
NBA1H,NBA1H,B,Fantasy Score,OVER,Standard OVER,Avg,xl,22,22.0,0.9126787477132784,1.0,1.0,1.0,1.0
NBA1H,NBA1H,C,Fantasy Score,OVER,Standard OVER,Avg,high,22,18.0,0.9138306582143054,1.0,1.0,1.0,0.8181818181818182
NBA1H,NBA1H,D,Fantasy Score,OVER,Standard OVER,Above Avg,high,19,17.0,0.9143545802734829,1.0,1.0,1.0,0.8947368421052632
NBA1H,NBA1H,C,Fantasy Score,OVER,Standard OVER,Elite,xl,16,15.0,0.9132657016846651,1.0,1.0,1.0,0.9375
NBA1H,NBA1H,A,Fantasy Score,OVER,Standard OVER,Weak,xl,15,15.0,0.9130963534968902,1.0,1.0,1.0,1.0
NBA1H,NBA1H,C,Fantasy Score,OVER,Standard OVER,Above Avg,high,15,15.0,0.9142375628470464,1.0,1.0,1.0,1.0
NBA1Q,NBA1Q,C,Points,OVER,Demon,Weak,high,31,27.0,0.9039013069987161,1.0,1.0,1.0,0.8709677419354839
NBA1Q,NBA1Q,A,Points,OVER,Standard OVER,Weak,mid,27,23.0,0.902102409200771,1.0,1.0,1.0,0.8518518518518519
NBA1Q,NBA1Q,D,Assists,OVER,Goblin,Above Avg,micro,25,23.0,0.9137907531502774,1.0,1.0,1.0,0.92
