sport,player,prop_type,direction,pick_type,line,edge,rank_score,tier,hit_prob_over,hit_prob_under,hit_prob_selected,hit_prob_actionable,leg_prob_used,prop_quality_score,rank_read_score,implied_prob,implied_prob_over,implied_prob_under,cross_edge,data_completeness_score,pick_type_eligible,distribution_std,distribution_n,std_norm,confidence_score,calibration_bucket,calibration_actual_hit_rate,calibration_n,read_fields_missing
MLB,Seiya Suzuki,Hits+Runs+RBIs,OVER,Goblin,0.5,2.5,5.63,C,0.8,0.2,0.8,0.8,0.8,0.5597562489522607,0.6190666666666667,,,,,0.8,True,2.1628,10,0.7462305489424835,0.5793570498976705,5,0.566788,5510.0,[]
Tennis,Tatiana Prozorova,Total Games,OVER,Standard,20.5,2.5,5.62,D,0.8,0.2,0.8,0.8,0.8,0.646562242574512,0.5240666666666667,,,,,0.9,True,5.6569,9,0.769730038643662,0.6438642752401637,,,,[]
Tennis,Tatiana Prozorova,Total Games,OVER,Goblin,19.5,3.5,5.62,D,0.8,0.2,0.8,0.8,0.8,0.6612289092411787,0.5427333333333333,,,,,0.9,True,5.6569,9,0.769730038643662,0.6489976085734971,,,,[]
Tennis,Rebecca Sramkova,Aces,OVER,Goblin,2.5,0.3,5.6,D,0.6,0.4,0.6,0.6,0.6,0.5181568916578615,0.423,,,,,0.9,True,2.1602,10,0.5752862849533955,0.6475333408419026,,,,[]
MLB,Ceddanne Rafaela,Total Bases,OVER,Goblin,0.5,2.3,5.6,B,0.8,0.2,0.8,0.8,0.8,0.5726152249911948,0.6313333333333333,0.5122,0.5122,0.5575,0.28780000000000006,0.8,True,2.1108,10,0.7541803630127196,0.5818702379937383,5,0.566788,5510.0,[]
MLB,Brandon Marsh,Hits,OVER,Goblin,0.5,1.3,5.6,B,1.0,0.0,1.0,1.0,1.0,0.5244485583245281,0.6242666666666666,,,,,0.8,True,0.8498,10,0.6813662604233482,0.5832154303077478,,,,[]
Tennis,Alexandra Eala,Total Games,OVER,Goblin,18.5,3.1,5.6,D,0.8,0.2,0.8,0.8,0.8,0.6552235583245282,0.5424666666666667,,,,,0.9,True,4.7796,10,0.6503565013879062,0.6767391200666083,,,,[]
MLB,Ceddanne Rafaela,Hitter Fantasy Score,OVER,Goblin,2.5,10.9,5.59,B,1.0,0.0,1.0,1.0,1.0,0.6651788793873504,0.8734666666666667,,,,,0.8,True,8.698,10,0.8018880970599895,0.6023405835205753,,,,[]
MLB,Jared Jones,Hits Allowed,OVER,Goblin,3.5,3.5,5.58,B,0.2,0.0,0.2,0.2,0.2,0.408731891865673,0.40893333333333337,0.5215,0.5215,0.5475,-0.32149999999999995,0.8,False,0.0,1,0.0,0.7130561621529856,0,0.170044,18113.0,[]
MLB,Samuel Basallo,Hits+Runs+RBIs,OVER,Goblin,0.5,1.9,5.56,B,1.0,0.0,1.0,1.0,1.0,0.5329684889407044,0.6354666666666665,,,,,0.8,True,2.1731,10,0.7497843563468239,0.5690928820425406,,,,[]
MLB,Brandon Marsh,Total Bases,OVER,Goblin,0.5,1.7,5.55,B,1.0,0.0,1.0,1.0,1.0,0.5299645724738226,0.6317333333333334,,,,,0.8,True,1.3333,10,0.47638273545805343,0.6363919165013245,,,,[]
