player_id,player_name_pp,team_pp,nba_player_id,nba_player_name,resolver
4411057,Kevin McCullar Jr.,NYK,1641755,Kevin McCullar Jr.,espn_name_strict
4351852,Mitchell Robinson,NYK,1629011,Mitchell Robinson,espn_name_strict
3914044,Landry Shamet,NYK,1629013,Landry Shamet,espn_name_strict
4610139,Jeremy Sochan,NYK,1631110,Jeremy Sochan,espn_name_strict
3136195,Karl-Anthony Towns,NYK,1626157,Karl-Anthony Towns,espn_name_strict
4684208,Brooks Barnhizer,OKC,1642964,Brooks Barnhizer,espn_name_strict
4592435,Branden Carlson,OKC,1642382,Branden Carlson,espn_name_strict
2991350,Alex Caruso,OKC,1627936,Alex Caruso,espn_name_strict
4397020,Luguentz Dort,OKC,1629652,Luguentz Dort,espn_name_strict
4278073,Shai Gilgeous-Alexander,OKC,1628983,Shai Gilgeous-Alexander,espn_name_strict
4222252,Isaiah Hartenstein,OKC,1628392,Isaiah Hartenstein,espn_name_strict
4433255,Chet Holmgren,OKC,1631096,Chet Holmgren,espn_name_strict
4395702,Isaiah Joe,OKC,1630198,Isaiah Joe,espn_name_strict
4683778,Jared McCain,OKC,1642272,Jared McCain,espn_name_strict
4900671,Ajay Mitchell,OKC,1642349,Ajay Mitchell,espn_name_strict
5061603,Thomas Sorber,OKC,1642850,Thomas Sorber,espn_name_strict
4683692,Cason Wallace,OKC,1641717,Cason Wallace,espn_name_strict
4397183,Aaron Wiggins,OKC,1630598,Aaron Wiggins,espn_name_strict
4593803,Jalen Williams,OKC,1631114,Jalen Williams,espn_name_strict
4432823,Jaylin Williams,OKC,1631119,Jaylin Williams,espn_name_strict
3133626,Kenrich Williams,OKC,1629026,Kenrich Williams,espn_name_strict
4432573,Paolo Banchero,ORL,1631094,Paolo Banchero,espn_name_strict
4066320,Desmond Bane,ORL,1630217,Desmond Bane,espn_name_strict
4348700,Goga Bitadze,ORL,1629048,Goga Bitadze,espn_name_strict
4712849,Anthony Black,ORL,1641710,Anthony Black,espn_name_strict
4278572,Jamal Cain,ORL,1631288,Jamal Cain,espn_name_strict
3133635,Jevon Carter,ORL,1628975,Jevon Carter,espn_name_strict
4277847,Wendell Carter Jr.,ORL,1628976,Wendell Carter Jr.,espn_name_strict
4397204,Colin Castleton,ORL,1630658,Colin Castleton,espn_name_strict
4702382,Tristan da Silva,ORL,1641783,Tristan da Silva,espn_name_strict
5105806,Jett Howard,ORL,1641724,Jett Howard,espn_name_strict
4065654,Jonathan Isaac,ORL,1628371,Jonathan Isaac,espn_name_strict
5214637,Noah Penda,ORL,1642869,Noah Penda,espn_name_strict
5239561,Jase Richardson,ORL,1642859,Jase Richardson,espn_name_strict
4432165,Jalen Suggs,ORL,1630591,Jalen Suggs,espn_name_strict
4566434,Franz Wagner,ORL,1630532,Franz Wagner,espn_name_strict
3150844,Moritz Wagner,ORL,1629021,Moritz Wagner,espn_name_strict
4870562,Dominick Barlow,PHI,1631230,Dominick Barlow,espn_name_strict
4397886,Charles Bassey,PHI,1629646,Charles Bassey,espn_name_strict
5105637,Adem Bona,PHI,1641737,Adem Bona,espn_name_strict
4433569,Johni Broome,PHI,1641780,Johni Broome,espn_name_strict
6585,Andre Drummond,PHI,203083,Andre Drummond,espn_name_strict
5124612,VJ Edgecombe,PHI,1642845,VJ Edgecombe,espn_name_strict
4711297,Justin Edwards,PHI,1642348,Justin Edwards,espn_name_strict
3059318,Joel Embiid,PHI,203954,Joel Embiid,espn_name_strict
4251,Paul George,PHI,202331,Paul George,espn_name_strict
4397014,Quentin Grimes,PHI,1629656,Quentin Grimes,espn_name_strict
3012,Kyle Lowry,PHI,200768,Kyle Lowry,espn_name_strict
4397179,Tyrese Martin,PHI,1631213,Tyrese Martin,espn_name_strict
4431678,Tyrese Maxey,PHI,1630178,Tyrese Maxey,espn_name_strict
3133603,Kelly Oubre Jr.,PHI,1626162,Kelly Oubre Jr.,espn_name_strict
4433159,Dalen Terry,PHI,1631207,Dalen Terry,espn_name_strict
4432446,Jabari Walker,PHI,1631133,Jabari Walker,espn_name_strict
4431675,Trendon Watford,PHI,1630570,Trendon Watford,espn_name_strict
3135045,Grayson Allen,PHX,1628960,Grayson Allen,espn_name_strict
4432809,Cole Anthony,PHX,1630175,Cole Anthony,espn_name_strict
3136193,Devin Booker,PHX,1626164,Devin Booker,espn_name_strict
4591259,Koby Brea,PHX,1642886,Koby Brea,espn_name_strict
3155526,Dillon Brooks,PHX,1628415,Dillon Brooks,espn_name_strict
4066387,Amir Coffey,PHX,1629599,Amir Coffey,espn_name_strict
4888725,Ryan Dunn,PHX,1642346,Ryan Dunn,espn_name_strict
5105977,Rasheer Fleming,PHX,1642853,Rasheer Fleming,espn_name_strict
4278585,Collin Gillespie,PHX,1631221,Collin Gillespie,espn_name_strict
