player_norm,espn_athlete_id
adrian martinez,3038
bruno zuculini,144267
ezequiel cannavo,311747
franco pardo,255945
gabriel diaz,367190
gabriel rojas,238734
juan insaurralde,118725
lucas suarez,202225
marco cesare,301950
nazareno colombo,268534
renzo orihuela,276062
santiago sosa,271473
thiago santamaria,335361
adrian fernandez,315949
agustin seyral,384383
alan forneris,384887
alexis gonzalez,87673
baltasar rodriguez,339804
brandon marquez,385064
elias torres,346184
marcos rojo,129426
matias zaracho,241988
gaston gonzalez,233686
ignacio rodriguez,382973
joaquin ardaiz,251890
manuel monaco,335370
mauricio martinez,188476
sergio quiroga,129393
tobias rubio,339805
tomas guiacobini,383251
valentin carboni,337972
agustin basso,186254
aleix garcia,219294
edmond tapsoba,257287
gabriel magalhaes,236322
martin zubimendi,287266
declan rice,238262
alejandro grimaldo,166396
jarell quansah,298524
jurrien timber,282716
janis blaswich,161825
bukayo saka,280555
david raya,196176
patrik schick,212330
eberechi eze,251400
gabriel martinelli,269844
viktor gyokeres,258906
gabriel jesus,217289
exequiel palacios,228393
christian kofane,398709
noni madueke,293236
kai havertz,231182
leandro trossard,174980
martin terrier,241662
martin ødegaard,203669
max dowman,397263
montrell culbreath,408703
axel tape,396655
ben white,241077
christian nørgaard,178077
cristhian mosquera,328497
ernest poku,318534
ibrahim maza,361212
jonas hofmann,174617
malik tillman,301416
myles lewis-skelly,352758
piero hincapie,292062
riccardo calafiori,298329
robert andrich,180998
tim oermann,346376
william saliba,277385
ezequiel fernandez,364080
eliesse seghir,346947
josh nichols,351059
marli salmon,400284
brando bailey-joseph,411237
ceadach o’neill,381341
ife ibrahim,399894
jeremiah mensah,403899
nathan tella,263134
emmanuel owen,419917
thibaut courtois,134283
gianluigi donnarumma,217092
matvey safonov,248699
eduardo camavinga,285150
kylian mbappe,231388
erling haaland,253989
gonzalo garcia,87297
omar marmoush,303745
vinicius junior,252107
antoine semenyo,273292
arda guler,310452
brahim diaz,246532
franco mastantuono,376473
jeremy doku,283672
rayan cherki,298008
nico o'reilly,328464
phil foden,250787
savinho,304470
tijjani reijnders,261328
cesar palacios,12172
david jimenez,157965
abdukodir khusanov,362211
antonio rudiger,169438
aurelien tchouameni,265919
bernardo silva,199833
dani carvajal,168531
david alaba,118444
dean huijsen,356000
federico valverde,235818
ferland mendy,217475
fran garcia,213050
matheus nunes,303785
max alleyne,347046
nathan ake,159248
rico lewis,325564
rodri,231828
thiago pitarch,409019
trent alexander-arnold,223532
marc guehi,265907
john stones,157974
rayan ait-nouri,272512
raul asencio,388338
ruben dias,234878
alvaro carreras,310637
charlie gray,137623
floyd samba,410320
jude bellingham,291281
pol fortuny,387498
reigan heskey,378369
ryan mcaidoo,395463
sverre nypan,334109
tyrone samba,417985
alvaro leiva,331761
dani ceballos,202717
frenkie jong,219022
giorgi mamardashvili,274742
lautaro vargas,361298
alvaro montero,166323
felipe zenobio,292055
ignacio peluffo,412975
aaron quiros,317427
santiago gonzalez,361648
valentin moreno,361651
maizon rodriguez,408110
matias mansilla,310768
rodrigo rey,154747
mateo del blanco,335877
julian palacios,298859
milton valenzuela,233688
diego diaz,401068
claudio corvalan,195710
ivan marcone,127893
juan luduena,346282
lucas menossi,156284
nicolas paz,336737
valentin fascendini,379507
juan fedorco,293381
leonardo godoy,187848
goncalo inacio,304106
patrick berg,205924
jens hauge,235789
rui silva,177898
odin bjørtuft,269732
ousmane diomande,343964
luis suarez,272722
kasper høgh,272624
ole blomberg,307798
geny catamo,296969
morten hjulmand,274911
fotis ioannidis,266318
julian lund,227625
hakon evjen,271088
andreas helmersen,218561
august mikkelsen,285947
daniel bassi,340237
luis guilherme,361429
souleymane faye,297345
sondre auklend,303740
isak maatta,302019
anders klynge,303934
fredrik bjørkan,238088
georgios vagiannidis,300514
giorgi kochorashvili,258923
haitam aleesami,176883
jostein gundersen,218466
joao simoes,392622
ricardo mangas,259871
sondre fet,208353
ulrik saltnes,203670
zeno debast,314473
fredrik sjøvold,333755
hidemasa morita,270752
ivan fresneda,333209
villads nielsen,387380
geovany quenda,376274
hindrin chooly,418004
maxi araujo,287025
mikkel hansen,399511
rafael nel,380529
salvador blopa,414124
vitinha,288897
marquinhos,297070
achraf hakimi,240233
moises caicedo,289877
khvicha kvaratskhelia,274745
