prop_cat,n,hits,hr,sport,dimension,lift_pp,pick_type_norm,direction,tier,def_tier,player_tier_bucket,l5_side_bucket,l10_side_bucket,l10_streak,consistency_grade,minutes_tier,usage_tier,game_total_bucket,h2h_bucket,confidence_tier,on_ticket_flag,hit_rate_bin,edge_bin,ml_prob_bin,top3_weak_overperformer,top3_elite_fader,injury_boost_candidate,team_star_out,usage_vacuum,stack_70_eligible,pick_dir_def,tier_dir_player
,142,46,0.323943661971831,SOCCER,tier_dir_player,13.6443661971831,,,,,,,,,,,,,,,,,,,,,,,,,,B | OVER | top3
,7642,2391,0.31287621041612146,SOCCER,tier_dir_player,12.537621041612146,,,,,,,,,,,,,,,,,,,,,,,,,,D | OVER | top3
,230,67,0.29130434782608694,SOCCER,tier_dir_player,10.380434782608694,,,,,,,,,,,,,,,,,,,,,,,,,,C | OVER | top3
,1324,361,0.2726586102719033,SOCCER,tier_dir_player,8.51586102719033,,,,,,,,,,,,,,,,,,,,,,,,,,B | OVER | mid/other
,9070,1998,0.2202866593164278,SOCCER,tier_dir_player,3.2786659316427795,,,,,,,,,,,,,,,,,,,,,,,,,,A | OVER | mid/other
,42114,6423,0.15251460321983187,SOCCER,tier_dir_player,-3.4985396780168125,,,,,,,,,,,,,,,,,,,,,,,,,,D | OVER | mid/other
,2653,393,0.14813418771202413,SOCCER,tier_dir_player,-3.9365812287975865,,,,,,,,,,,,,,,,,,,,,,,,,,C | OVER | mid/other
,297,9,0.030303030303030304,SOCCER,tier_dir_player,-15.719696969696969,,,,,,,,,,,,,,,,,,,,,,,,,,A | OVER | bottom3
,124,3,0.024193548387096774,SOCCER,tier_dir_player,-16.33064516129032,,,,,,,,,,,,,,,,,,,,,,,,,,C | OVER | bottom3
,2257,48,0.021267168808152416,SOCCER,tier_dir_player,-16.62328311918476,,,,,,,,,,,,,,,,,,,,,,,,,,D | OVER | bottom3
tennis_totals,9654,3324,0.34431323803604724,TENNIS,prop_cat,8.64360219642039,,,,,,,,,,,,,,,,,,,,,,,,,,
double faults,3263,7,0.0021452650934722646,TENNIS,prop_cat,-25.573195097837107,,,,,,,,,,,,,,,,,,,,,,,,,,
,4032,1643,0.40749007936507936,TENNIS,pick_type_norm,14.961286329323602,Goblin,,,,,,,,,,,,,,,,,,,,,,,,,
,2662,839,0.3151765589782119,TENNIS,pick_type_norm,5.729934290636857,Standard,,,,,,,,,,,,,,,,,,,,,,,,,
,6223,849,0.13642937489956614,TENNIS,pick_type_norm,-12.144784117227719,Demon,,,,,,,,,,,,,,,,,,,,,,,,,
,332,190,0.572289156626506,TENNIS,direction,31.44119405546627,,UNDER,,,,,,,,,,,,,,,,,,,,,,,,
,12585,3141,0.2495828367103695,TENNIS,direction,-0.8294379361473841,,OVER,,,,,,,,,,,,,,,,,,,,,,,,
,205,109,0.5317073170731708,TENNIS,tier,27.383010100132744,,,A,,,,,,,,,,,,,,,,,,,,,,,
,74,38,0.5135135135135135,TENNIS,tier,25.563629744167017,,,C,,,,,,,,,,,,,,,,,,,,,,,
,88,37,0.42045454545454547,TENNIS,tier,16.257732938270212,,,B,,,,,,,,,,,,,,,,,,,,,,,
,12550,3147,0.2507569721115538,TENNIS,tier,-0.7120243960289541,,,D,,,,,,,,,,,,,,,,,,,,,,,
,12917,3331,0.25787721607184333,TENNIS,def_tier,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,12917,3331,0.25787721607184333,TENNIS,player_tier_bucket,0.0,,,,,mid/other,,,,,,,,,,,,,,,,,,,,,
,240,119,0.49583333333333335,TENNIS,l5_side_bucket,23.795611726149,,,,,,3 warm,,,,,,,,,,,,,,,,,,,,
,160,77,0.48125,TENNIS,l5_side_bucket,22.33727839281567,,,,,,4-5 hot,,,,,,,,,,,,,,,,,,,,
,2652,753,0.2839366515837104,TENNIS,l5_side_bucket,2.605943551186707,,,,,,(missing),,,,,,,,,,,,,,,,,,,,
