PLAYER_NAME,PLAYER_NORM,TEAM,season_avg,games,avg_min,category,team_slate,team_def_key,rank_on_team,leader_side,PLAYER_NAME_split,n_games,n_elite,n_weak,avg_delta_all,avg_delta_vs_elite,avg_delta_vs_weak,avg_delta_vs_mid,def_rank_corr,weak_over_rate,elite_over_rate,def_boost,overperform_vs_weak,fades_vs_elite,player,team,opp_team,prop_norm,line,bet_direction,final_bet_direction,rank_score,edge,edge_score,tier,slate_opp_def_rank,slate_opp_def_tier,line_hit_rate_over_ou_5,stat_last5_avg,player_norm,on_slate,slate_edge_signal
Rhyne Howard,rhyne howard,ATL,24.176470588235293,34,33.26470588235294,pra,ATL,ATL,3,top,Rhyne Howard,31.0,8.0,13.0,2.5992108681631914,-1.295514383384933,1.9698842085754709,6.533115726865726,0.2184223499532324,0.5384615384615384,0.375,3.2653985919604036,False,True,,,,,,,,,,,,,,,,,False,False
Stephanie Jones,stephanie jones,ATL,3.0,1,20.0,pts,ATL,ATL,1,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Maite Cazorla,maite cazorla,ATL,5.0,1,22.0,pts,ATL,ATL,2,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Isobel Borlase,isobel borlase,ATL,5.433333333333334,30,15.233333333333333,pts,ATL,ATL,3,bottom,Isobel Borlase,27.0,8.0,12.0,-0.5897739328919338,-2.5334649725274723,0.9121342126650656,-0.9431124228347463,0.47264292704600397,0.5,0.25,3.445599185192538,False,True,,,,,,,,,,,,,,,,,False,False
Allisha Gray,allisha gray,ATL,18.885714285714286,35,31.685714285714287,pts,ATL,ATL,1,top,Allisha Gray,32.0,8.0,13.0,2.381766489889825,1.5592745739923162,1.702869654036042,3.7822750529152116,0.0858335405899403,0.6153846153846154,0.5,0.1435950800437258,False,False,,,,,,,,,,,,,,,,,False,False
Rhyne Howard,rhyne howard,ATL,17.058823529411764,34,33.26470588235294,pts,ATL,ATL,2,top,Rhyne Howard,31.0,8.0,13.0,1.9321075242005128,-1.2262812822497415,0.5508035211981626,6.254513773263772,0.12026910965606123,0.5384615384615384,0.5,1.777084803447904,False,True,,,,,,,,,,,,,,,,,False,False
Angel Reese,angel reese,ATL,15.147058823529411,34,29.647058823529413,pts,ATL,ATL,3,top,Angel Reese,31.0,8.0,12.0,2.143978742356168,-1.5939184916390798,3.3922220469274564,3.500729489365853,0.26504426187220187,0.6666666666666666,0.375,4.986140538566536,True,True,,,,,,,,,,,,,,,,,False,False
Isobel Borlase,isobel borlase,ATL,1.6666666666666667,30,15.233333333333333,reb,ATL,ATL,1,bottom,Isobel Borlase,27.0,8.0,12.0,-0.0072376214124762455,-0.4237923534798534,0.284715551359532,-0.03166622380177369,0.23022495521571962,0.5833333333333334,0.375,0.7085079048393854,True,True,,,,,,,,,,,,,,,,,False,False
Holly Winterburn,holly winterburn,ATL,2.0,1,22.0,reb,ATL,ATL,2,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Allisha Gray,allisha gray,ATL,3.057142857142857,35,31.685714285714287,reb,ATL,ATL,3,bottom,Allisha Gray,32.0,8.0,13.0,-0.09133450561166113,-0.0848330209217305,-0.5757887042133553,0.4764739220522095,-0.09233087033101271,0.46153846153846156,0.5,-0.49095568329162476,False,False,,,,,,,,,,,,,,,,,False,False
Angel Reese,angel reese,ATL,11.529411764705882,34,29.647058823529413,reb,ATL,ATL,1,top,Angel Reese,31.0,8.0,12.0,1.251294762775847,1.3655002758679229,0.9611368653264541,1.4847720959264017,0.026996973671791435,0.5833333333333334,0.75,-0.40436341054146874,False,False,,,,,,,,,,,,,,,,,False,False
Brionna Jones,brionna jones,ATL,6.125,8,18.375,reb,ATL,ATL,2,top,Brionna Jones,5.0,1.0,2.0,-1.7476190476190474,0.5,-3.2857142857142856,-1.3333333333333335,-0.8593136340766138,0.0,1.0,-3.7857142857142856,False,False,,,,,,,,,,,,,,,,,False,False
Stephanie Jones,stephanie jones,ATL,6.0,1,20.0,reb,ATL,ATL,3,top,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Stephanie Jones,stephanie jones,ATL,0.0,1,20.0,stl,ATL,ATL,1,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Isobel Borlase,isobel borlase,ATL,0.3,30,15.233333333333333,stl,ATL,ATL,2,bottom,Isobel Borlase,27.0,8.0,12.0,-0.15743667582941703,0.06311813186813187,-0.32310467041864505,-0.12549703675936777,-0.2645875690701032,0.08333333333333333,0.375,-0.3862228022867769,False,False,,,,,,,,,,,,,,,,,False,False
Brionna Jones,brionna jones,ATL,0.375,8,18.375,stl,ATL,ATL,3,bottom,Brionna Jones,5.0,1.0,2.0,0.11952380952380955,-0.3333333333333333,0.7571428571428571,-0.29166666666666663,0.942950361185846,1.0,0.0,1.0904761904761904,True,False,,,,,,,,,,,,,,,,,False,False
Rhyne Howard,rhyne howard,ATL,2.235294117647059,34,33.26470588235294,stl,ATL,ATL,1,top,Rhyne Howard,31.0,8.0,13.0,-0.009751175908757289,-0.4249454979360166,-0.22396230603621953,0.600878750878751,0.01567978287592507,0.38461538461538464,0.375,0.20098319189979708,False,True,,,,,,,,,,,,,,,,,False,False
Holly Winterburn,holly winterburn,ATL,2.0,1,22.0,stl,ATL,ATL,2,top,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Maite Cazorla,maite cazorla,ATL,2.0,1,22.0,stl,ATL,ATL,3,top,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Stephanie Jones,stephanie jones,ATL,0.0,1,20.0,stocks,ATL,ATL,1,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Isobel Borlase,isobel borlase,ATL,0.5,30,15.233333333333333,stocks,ATL,ATL,2,bottom,Isobel Borlase,27.0,8.0,12.0,-0.3925517423558651,-0.3336538461538462,-0.4253103860749052,-0.40370594878267513,-0.025422356363062653,0.3333333333333333,0.375,-0.09165653992105899,False,True,,,,,,,,,,,,,,,,,False,False
Naz Hillmon,naz hillmon,ATL,0.9090909090909091,33,28.09090909090909,stocks,ATL,ATL,3,bottom,Naz Hillmon,30.0,8.0,13.0,0.20541414535383648,-0.132078855438122,0.36592241138645826,0.2735626506773461,0.08936760185617591,0.6923076923076923,0.375,0.49800126682458024,False,False,,,,,,,,,,,,,,,,,False,False
Rhyne Howard,rhyne howard,ATL,3.1470588235294117,34,33.26470588235294,stocks,ATL,ATL,1,top,Rhyne Howard,31.0,8.0,13.0,0.26068119845889337,0.39194433694530434,-0.352286430759446,0.9525286056536055,-0.1719904873244426,0.46153846153846156,0.5,-0.7442307677047504,False,False,,,,,,,,,,,,,,,,,False,False
Angel Reese,angel reese,ATL,2.411764705882353,34,29.647058823529413,stocks,ATL,ATL,2,top,Angel Reese,31.0,8.0,12.0,-0.05330546888626003,0.5904267464561583,-0.39084196726655746,-0.1532527181749671,-0.10585325425222519,0.3333333333333333,0.5,-0.9812687137227158,False,False,,,,,,,,,,,,,,,,,False,False
Jordin Canada,jordin canada,ATL,2.1176470588235294,34,30.264705882352942,stocks,ATL,ATL,3,top,Jordin Canada,31.0,8.0,12.0,0.33001280375757536,-0.4003961448102813,0.26524028507724157,0.9318802412763803,0.041105406006319734,0.4166666666666667,0.25,0.6656364298875228,False,True,,,,,,,,,,,,,,,,,False,False
DiJonai Carrington,dijonai carrington,CHI,0.7142857142857143,7,19.0,ast,CHI,CHI,1,bottom,DiJonai Carrington,4.0,1.0,1.0,0.8083333333333333,0.4,2.0,0.4166666666666667,,1.0,1.0,1.6,False,False,,,,,,,,,,,,,,,,,False,False
Gabriela Jaquez,gabriela jaquez,CHI,0.9310344827586207,29,20.379310344827587,ast,CHI,CHI,2,bottom,Gabriela Jaquez,26.0,4.0,11.0,-0.022983040098127003,-0.10773809523809522,0.10544441397382572,-0.12059047411918221,0.0005263846112108507,0.5454545454545454,0.5,0.21318250921192095,False,False,,,,,,,,,,,,,,,,,False,False
Rachel Banham,rachel banham,CHI,1.2307692307692308,26,15.23076923076923,ast,CHI,CHI,3,bottom,Rachel Banham,23.0,6.0,9.0,0.09625232345965432,-0.265542328042328,0.07384489149195034,0.39280667304980804,0.0933382505613808,0.2222222222222222,0.3333333333333333,0.33938721953427836,False,False,,,,,,,,,,,,,,,,,False,False
Natasha Cloud,natasha cloud,CHI,5.0,33,28.727272727272727,ast,CHI,CHI,1,top,Natasha Cloud,30.0,4.0,11.0,0.5870771337147839,-0.9868471582181262,1.7670284844183541,0.1414926210476083,0.35771207602223326,0.6363636363636364,0.25,2.7538756426364803,True,True,,,,,,,,,,,,,,,,,False,False
Skylar Diggins,skylar diggins,CHI,4.947368421052632,19,28.157894736842106,ast,CHI,CHI,2,top,Skylar Diggins,16.0,3.0,6.0,-0.24442970224220228,-2.0297619047619047,0.16338383838383827,0.1711582068724926,0.2870027837194889,0.5,0.3333333333333333,2.193145743145743,False,True,,,,,,,,,,,,,,,,,False,False
Courtney Vandersloot,courtney vandersloot,CHI,4.833333333333333,18,21.0,ast,CHI,CHI,3,top,Courtney Vandersloot,15.0,1.0,6.0,-0.10118789707024992,-0.875,-0.44551282051282054,0.25378230837789684,-0.061756781176761,0.5,0.0,0.42948717948717946,False,False,,,,,,,,,,,,,,,,,False,False
Hailey Van Lith,hailey van lith,CHI,0.0,2,20.5,blk,CHI,CHI,1,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
