player,team,prop_type,actual,league,espn_player_id,SOT,SH,G,A,SV,PA,KP,TK
André Almeida,VAL,Yellow Cards,0.0,esp.1,286604,,0.0,0.0,0.0,,,,
André Carrillo,COR,Assists,0.0,bra.copa_do_brazil,148189,,0.0,0.0,0.0,,,,
André Carrillo,COR,Fouls,0.0,bra.copa_do_brazil,148189,,0.0,0.0,0.0,,,,
André Carrillo,COR,Goal + Assist,0.0,bra.copa_do_brazil,148189,,,,,,,,
André Carrillo,COR,Goals,0.0,bra.copa_do_brazil,148189,,0.0,0.0,0.0,,,,
André Carrillo,COR,Shots,0.0,bra.copa_do_brazil,148189,,0.0,0.0,0.0,,,,
André Carrillo,COR,Yellow Cards,0.0,bra.copa_do_brazil,148189,,0.0,0.0,0.0,,,,
André Henrique,GRE,Assists,0.0,bra.copa_do_brazil,361901,,0.0,0.0,0.0,,,,
André Henrique,GRE,Fouls,0.0,bra.copa_do_brazil,361901,,0.0,0.0,0.0,,,,
André Henrique,GRE,Goal + Assist,0.0,bra.copa_do_brazil,361901,,,,,,,,
André Henrique,GRE,Goals,0.0,bra.copa_do_brazil,361901,,0.0,0.0,0.0,,,,
André Henrique,GRE,Shots,0.0,bra.copa_do_brazil,361901,,0.0,0.0,0.0,,,,
André Henrique,GRE,Yellow Cards,0.0,bra.copa_do_brazil,361901,,0.0,0.0,0.0,,,,
André Ramalho,COR,Assists,0.0,bra.copa_do_brazil,194090,,0.0,0.0,0.0,,,,
André Ramalho,COR,Fouls,0.0,bra.copa_do_brazil,194090,,0.0,0.0,0.0,,,,
André Ramalho,COR,Goal + Assist,0.0,bra.copa_do_brazil,194090,,,,,,,,
André Ramalho,COR,Goals,0.0,bra.copa_do_brazil,194090,,0.0,0.0,0.0,,,,
André Ramalho,COR,Shots,0.0,bra.copa_do_brazil,194090,,0.0,0.0,0.0,,,,
André Ramalho,COR,Yellow Cards,0.0,bra.copa_do_brazil,194090,,0.0,0.0,0.0,,,,
Angel Azuaje,UNAM,Assists,0.0,mex.1,400755,,0.0,0.0,0.0,,,,
Angel Azuaje,UNAM,Fouls,0.0,mex.1,400755,,0.0,0.0,0.0,,,,
Angel Azuaje,UNAM,Goal + Assist,0.0,mex.1,400755,,,,,,,,
Angel Azuaje,UNAM,Goals,0.0,mex.1,400755,,0.0,0.0,0.0,,,,
Angel Azuaje,UNAM,Shots,0.0,mex.1,400755,,0.0,0.0,0.0,,,,
Angel Azuaje,UNAM,Yellow Cards,0.0,mex.1,400755,,0.0,0.0,0.0,,,,
Anselmo,ADE,Assists,0.0,aus.1,143959,,1.0,0.0,0.0,,,,
Anselmo,ADE,Fouls,0.0,aus.1,143959,,1.0,0.0,0.0,,,,
Anselmo,ADE,Goal + Assist,0.0,aus.1,143959,,,,,,,,
Anselmo,ADE,Goals,0.0,aus.1,143959,,1.0,0.0,0.0,,,,
Anselmo,ADE,Shots,1.0,aus.1,143959,,1.0,0.0,0.0,,,,
Anselmo,ADE,Yellow Cards,0.0,aus.1,143959,,1.0,0.0,0.0,,,,
Antonio Leone,UNAM,Assists,0.0,mex.1,23761,,0.0,0.0,0.0,,,,
Antonio Leone,UNAM,Fouls,1.0,mex.1,23761,,0.0,0.0,0.0,,,,
Antonio Leone,UNAM,Goal + Assist,0.0,mex.1,23761,,,,,,,,
Antonio Leone,UNAM,Goals,0.0,mex.1,23761,,0.0,0.0,0.0,,,,
Antonio Leone,UNAM,Shots,0.0,mex.1,23761,,0.0,0.0,0.0,,,,
Antonio Leone,UNAM,Yellow Cards,0.0,mex.1,23761,,0.0,0.0,0.0,,,,
Antonio Rüdiger,RMA,Assists,0.0,esp.1,169438,,0.0,0.0,0.0,,,,
Antonio Rüdiger,RMA,Fouls,0.0,esp.1,169438,,0.0,0.0,0.0,,,,
Antonio Rüdiger,RMA,Goal + Assist,0.0,esp.1,169438,,,,,,,,
Antonio Rüdiger,RMA,Goals,0.0,esp.1,169438,,0.0,0.0,0.0,,,,
Antonio Rüdiger,RMA,Shots,0.0,esp.1,169438,,0.0,0.0,0.0,,,,
Antonio Rüdiger,RMA,Yellow Cards,0.0,esp.1,169438,,0.0,0.0,0.0,,,,
Aritz Elustondo,RSO,Assists,0.0,esp.1,214742,,0.0,0.0,0.0,,,,
Aritz Elustondo,RSO,Fouls,0.0,esp.1,214742,,0.0,0.0,0.0,,,,
Aritz Elustondo,RSO,Goal + Assist,0.0,esp.1,214742,,,,,,,,
Aritz Elustondo,RSO,Goals,0.0,esp.1,214742,,0.0,0.0,0.0,,,,
Aritz Elustondo,RSO,Shots,0.0,esp.1,214742,,0.0,0.0,0.0,,,,
Aritz Elustondo,RSO,Yellow Cards,0.0,esp.1,214742,,0.0,0.0,0.0,,,,
Arnau Martínez,GIR,Assists,1.0,esp.1,308728,,1.0,0.0,1.0,,,,
Arnau Martínez,GIR,Fouls,1.0,esp.1,308728,,1.0,0.0,1.0,,,,
Arnau Martínez,GIR,Goal + Assist,1.0,esp.1,308728,,,,,,,,
Arnau Martínez,GIR,Goals,0.0,esp.1,308728,,1.0,0.0,1.0,,,,
Arnau Martínez,GIR,Shots,1.0,esp.1,308728,,1.0,0.0,1.0,,,,
Arnau Martínez,GIR,Yellow Cards,0.0,esp.1,308728,,1.0,0.0,1.0,,,,
Arnaut Danjuma,VAL,Assists,0.0,esp.1,231618,,0.0,0.0,0.0,,,,
Arnaut Danjuma,VAL,Fouls,0.0,esp.1,231618,,0.0,0.0,0.0,,,,
Arnaut Danjuma,VAL,Goal + Assist,0.0,esp.1,231618,,,,,,,,
Arnaut Danjuma,VAL,Goals,0.0,esp.1,231618,,0.0,0.0,0.0,,,,
Arnaut Danjuma,VAL,Shots,0.0,esp.1,231618,,0.0,0.0,0.0,,,,
Arnaut Danjuma,VAL,Yellow Cards,0.0,esp.1,231618,,0.0,0.0,0.0,,,,
Arsen Zakharyan,RSO,Assists,0.0,esp.1,307487,,0.0,0.0,0.0,,,,
Arsen Zakharyan,RSO,Fouls,0.0,esp.1,307487,,0.0,0.0,0.0,,,,
Arsen Zakharyan,RSO,Goal + Assist,0.0,esp.1,307487,,,,,,,,
Arsen Zakharyan,RSO,Goals,0.0,esp.1,307487,,0.0,0.0,0.0,,,,
Arsen Zakharyan,RSO,Shots,0.0,esp.1,307487,,0.0,0.0,0.0,,,,
Arsen Zakharyan,RSO,Yellow Cards,0.0,esp.1,307487,,0.0,0.0,0.0,,,,
Arthur Cabral,BOT,Assists,0.0,bra.copa_do_brazil,224103,,2.0,0.0,0.0,,,,
Arthur Cabral,BOT,Fouls,0.0,bra.copa_do_brazil,224103,,2.0,0.0,0.0,,,,
Arthur Cabral,BOT,Goal + Assist,0.0,bra.copa_do_brazil,224103,,,,,,,,
Arthur Cabral,BOT,Goals,0.0,bra.copa_do_brazil,224103,,2.0,0.0,0.0,,,,
Arthur Cabral,BOT,Shots,2.0,bra.copa_do_brazil,224103,,2.0,0.0,0.0,,,,
Arthur Cabral,BOT,Yellow Cards,1.0,bra.copa_do_brazil,224103,,2.0,0.0,0.0,,,,
Arthur Dias,CAP,Assists,0.0,bra.copa_do_brazil,381170,,0.0,0.0,0.0,,,,
Arthur Dias,CAP,Fouls,0.0,bra.copa_do_brazil,381170,,0.0,0.0,0.0,,,,
Arthur Dias,CAP,Goal + Assist,0.0,bra.copa_do_brazil,381170,,,,,,,,
Arthur Dias,CAP,Goals,0.0,bra.copa_do_brazil,381170,,0.0,0.0,0.0,,,,
Arthur Dias,CAP,Shots,0.0,bra.copa_do_brazil,381170,,0.0,0.0,0.0,,,,
Arthur Dias,CAP,Yellow Cards,0.0,bra.copa_do_brazil,381170,,0.0,0.0,0.0,,,,
Assis,AGO,Assists,0.0,bra.copa_do_brazil,398918,,0.0,0.0,0.0,,,,
Assis,AGO,Fouls,1.0,bra.copa_do_brazil,398918,,0.0,0.0,0.0,,,,
Assis,AGO,Goal + Assist,0.0,bra.copa_do_brazil,398918,,,,,,,,
Assis,AGO,Goals,0.0,bra.copa_do_brazil,398918,,0.0,0.0,0.0,,,,
Assis,AGO,Shots,0.0,bra.copa_do_brazil,398918,,0.0,0.0,0.0,,,,
Assis,AGO,Yellow Cards,0.0,bra.copa_do_brazil,398918,,0.0,0.0,0.0,,,,
