player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Betnijah Laney-Hamilton,NY,Assists,2.0,8.0,2.0,2.0,0.0,1.0,0.0,3.0,6.0,2.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,17.0
Sarah Ashlee Barker,POR,Assists,2.0,6.0,3.0,2.0,0.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,21.0
Antonia Delaere,MIN,Fantasy Score,1.7,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
Aubrey Griffin,NY,Fantasy Score,1.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
Nia Coffey,MIN,Steals,1.0,13.0,8.0,1.0,2.0,1.0,1.0,5.0,6.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,8.0,4.0,30.0
Nia Coffey,MIN,Turnovers,1.0,13.0,8.0,1.0,2.0,1.0,1.0,5.0,6.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,8.0,4.0,30.0
Sarah Ashlee Barker,POR,Two Pointers Attempted,1.0,6.0,3.0,2.0,0.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,21.0
Haley Jones,POR,Steals,1.0,10.0,3.0,2.0,0.0,1.0,2.0,3.0,6.0,0.0,1.0,0.0,4.0,6.0,3.0,5.0,1.0,2.0,2.0,15.0
Sarah Ashlee Barker,POR,Steals,1.0,6.0,3.0,2.0,0.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,21.0
Haley Jones,POR,Offensive Rebounds,1.0,10.0,3.0,2.0,0.0,1.0,2.0,3.0,6.0,0.0,1.0,0.0,4.0,6.0,3.0,5.0,1.0,2.0,2.0,15.0
Nia Coffey,MIN,Assists,1.0,13.0,8.0,1.0,2.0,1.0,1.0,5.0,6.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,8.0,4.0,30.0
Sug Sutton,POR,Turnovers,1.0,8.0,3.0,8.0,0.0,0.0,1.0,3.0,13.0,1.0,5.0,1.0,1.0,4.0,2.0,8.0,0.0,3.0,3.0,20.0
Emma Cechova,MIN,FG Made,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,11.0
Emma Cechova,MIN,Two Pointers Made,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,11.0
Betnijah Laney-Hamilton,NY,Blks+Stls,1.0,8.0,2.0,2.0,0.0,1.0,0.0,3.0,6.0,2.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,17.0
Arike Ogunbowale,DAL,Assists,1.0,6.0,4.0,1.0,0.0,0.0,1.0,2.0,11.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,3.0,30.0
Arike Ogunbowale,DAL,Turnovers,1.0,6.0,4.0,1.0,0.0,0.0,1.0,2.0,11.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,3.0,30.0
Arike Ogunbowale,DAL,3-PT Made,1.0,6.0,4.0,1.0,0.0,0.0,1.0,2.0,11.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,3.0,30.0
Arike Ogunbowale,DAL,Two Pointers Made,1.0,6.0,4.0,1.0,0.0,0.0,1.0,2.0,11.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,3.0,30.0
