player_norm,espn_athlete_id,team_norm
mathys tel,325042,tottenhamhotspur
wilson odobert,345687,tottenhamhotspur
damola ajayi,350674,tottenhamhotspur
mason melia,364001,tottenhamhotspur
mikey moore,365332,tottenhamhotspur
yang min-hyeok,371578,tottenhamhotspur
jack butland,157933,hullcity
dillon phillips,191603,hullcity
thimothee lo-tutala,328465,hullcity
john egan,168424,hullcity
semi ajayi,178051,hullcity
matt targett,192929,hullcity
paddy mcnair,210139,hullcity
lewie coyle,231826,hullcity
ryan giles,243576,hullcity
cody drameh,279786,hullcity
matty jacob,291172,hullcity
charlie hughes,326187,hullcity
matt crooks,153613,hullcity
kieran dowell,194114,hullcity
abdulkadir omur,239750,hullcity
regan slater,249851,hullcity
hidemasa morita,270752,hullcity
eliot matazo,306055,hullcity
darko gyabi,308216,hullcity
oscar zambrano,328740,hullcity
oliver mcburnie,193010,hullcity
babajide david,222608,hullcity
liam millar,271879,hullcity
abu kamara,275674,hullcity
enis destan,317076,hullcity
mohamed belloumi,320417,hullcity
mason burstow,326201,hullcity
francesco rossi,89216,atalanta
marco sportiello,174915,atalanta
marco carnesecchi,284804,atalanta
berat djimsiti,165291,atalanta
sead kolasinac,170553,atalanta
davide zappacosta,182627,atalanta
mitchel bakker,267573,atalanta
raoul bellanova,268452,atalanta
odilon kossounou,284822,atalanta
lorenzo bernasconi,303988,atalanta
giorgio scalvini,309812,atalanta
isak hien,312862,atalanta
giovanni bonfanti,335952,atalanta
honest ahanor,388605,atalanta
marten de roon,146335,atalanta
mario pasalic,189668,atalanta
gianluca gaetano,276692,atalanta
ederson,176948,fenerbahce
nicola zalewski,288488,atalanta
lazar samardzic,303296,atalanta
sulemana,347018,
gianluca scamacca,233140,atalanta
nikola krstovic,258158,atalanta
giacomo raspadori,271679,atalanta
el bilal toure,287430,atalanta
daniel maldini,290545,atalanta
charles de ketelaere,296319,atalanta
kamaldeen sulemana,303115,atalanta
mauro vigorito,115025,como
emil audero,207834,como
jean butez,214740,como
noel tornqvist,301377,como
marc-oliver kempf,175887,como
edoardo goldaniga,181060,como
alex valle,192146,como
stefan posch,238906,como
alberto dossena,252372,como
ignace van der brempt,292199,como
kaiki,317233,como
ivan smolcic,323273,como
andres cuenca,376421,como
jacobo ramon,380318,como
luca mazzitelli,197263,como
luis milla,264211,como
maxence caqueret,265912,como
lucas da cunha,291285,como
matthias braunoder,305676,como
maximo perrone,309241,como
martin baturina,311475,como
fabio rispoli,377613,como
adrian lahdo,380970,como
andrea leborgne,408181,como
alvaro morata,154446,como
nicolas kuhn,260262,como
anastasios douvikas,262071,como
marlon mustapha,307265,como
ali jasim,307750,como
ivan azon,310259,como
alessandro gabrielloni,323143,como
alieu fadera,324705,como
jayden addai,337858,como
nico paz,337970,como
assane diao,364742,como
tommaso fumagalli,380057,como
jesus rodriguez,129732,puebla
mattia liberali,387723,como
david de gea,108482,fiorentina
luca lezzerini,164581,fiorentina
oliver christensen,249668,fiorentina
dodo,400316,bahia
matias moreno,186457,fiorentina
marin pongracic,255650,fiorentina
luca ranieri,262481,fiorentina
fabiano parisi,308082,fiorentina
radu dragusin,310216,fiorentina
nicolas valentini,318084,fiorentina
viery,364156,fiorentina
alex jimenez,367861,fiorentina
niccolo fortini,384300,fiorentina
eman kospo,403581,fiorentina
rolando mandragora,210392,fiorentina
abdelhamid sabiri,252293,fiorentina
simon sohm,275015,fiorentina
marco brescianini,276237,fiorentina
nicolo fagioli,276254,fiorentina
giovanni fabbian,323118,fiorentina
arthur atta,356213,fiorentina
cher ndour,360061,fiorentina
christ inao oulai,386989,fiorentina
lapo deli,418182,fiorentina
albert gudmundsson,224044,fiorentina
moise kean,248633,fiorentina
m'bala nzola,261173,fiorentina
riccardo sottil,262480,fiorentina
roberto piccoli,285438,fiorentina
riccardo braschi,408385,fiorentina
pietro terracciano,143100,
mike maignan,189026,acmilan
lorenzo torriani,384305,acmilan
leo-paul bouyer,403839,acmilan
matteo pittarella,407906,acmilan
pervis estupinan,214689,acmilan
fikayo tomori,236210,acmilan
matteo gabbia,255922,acmilan
strahinja pavlovic,290375,acmilan
filippo terracciano,303919,acmilan
koni de winter,309570,acmilan
mario gila,324097,acmilan
davide bartesaghi,345637,acmilan
david odogu,362411,acmilan
zachary athekame,370758,acmilan
sankhoun diawara,388239,acmilan
valeri vladimirov,409491,acmilan
luka modric,76762,acmilan
adrien rabiot,176203,acmilan
ruben loftus-cheek,186505,acmilan
ismael bennacer,214891,acmilan
christian pulisic,225607,acmilan
samuele ricci,276822,acmilan
youssouf fofana,277307,acmilan
ardon jashari,303973,acmilan
warren bondo,305672,acmilan
yunus musah,307527,acmilan
silvano vos,335207,acmilan
alphadjo cisse,359754,acmilan
kevin zeroli,365837,acmilan
jacopo sardo,388367,acmilan
christian comotto,403807,acmilan
lorenzo ossola,3110063,acmilan
christopher nkunku,222176,acmilan
samuel chukwueze,228298,acmilan
rafael leao,258917,acmilan
santiago gimenez,260775,acmilan
alexis saelemaekers,271132,acmilan
goncalo ramos,288896,acmilan
francesco camarda,377563,acmilan
andrej kostic,382572,acmilan
emanuele borsani,414987,acmilan
aurelien gurnier,420158,acmilan
pierluigi gollini,206587,asroma
devis vasquez,234300,asroma
mile svilar,238798,asroma
giorgio de marzi,398120,asroma
radoslaw zelezny,408132,asroma
gianluca mancini,212597,asroma
angelino,214319,asroma
mario hermoso,222529,asroma
evan ndicka,242593,asroma
marash kumbulla,261403,asroma
anass salah-eddine,297296,asroma
devyne rensch,297300,asroma
wesley,266671,cdnacional
daniele ghilardi,340705,asroma
jan ziolkowski,364223,asroma
mattia mannini,372786,asroma
filippo reale,379646,asroma
federico nardin,387842,asroma
emanuele lulli,409371,asroma
mohamed seck,421698,asroma
bryan cristante,169213,asroma
lorenzo pellegrini,204320,asroma
manu kone,285226,asroma
