projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,delta_pct,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier
11851032,61274,Seth Jarvis,CAR,F,Shots On Goal,2.5,,goblin,False,PHI,PHI,CAR,2026-05-04T19:00:00.000-04:00,156720,2026-05-04T15:00:20Z,,shots_on_goal,SKATER,PHI,1,8482093,False,,2.963,0.0,0.0,3.049,0.0,0.0,82.0,9.0,Above Avg
11851166,93845,Cam York,PHI,D,Blocked Shots,2.5,,demon,False,CAR,PHI,CAR,2026-05-04T19:00:00.000-04:00,156720,2026-05-04T15:00:20Z,,blocked_shots,SKATER,CAR,0,8481546,False,,2.927,0.0,0.0,3.61,0.0,0.0,82.0,4.0,Elite
11851180,218224,Sebastian Aho,CAR,F,Points,2.5,,demon,False,PHI,PHI,CAR,2026-05-04T19:00:00.000-04:00,156720,2026-05-04T15:00:20Z,,points,SKATER,PHI,1,8478427,False,,2.963,0.0,0.0,3.049,0.0,0.0,82.0,9.0,Above Avg
11851320,268079,Christian Dvorak,PHI,F,Shots On Goal,2.5,1.5,demon,False,CAR,PHI,CAR,2026-05-04T19:00:00.000-04:00,156720,2026-05-04T15:00:20Z,1.666667,shots_on_goal,SKATER,CAR,0,8477989,False,,2.927,0.0,0.0,3.61,0.0,0.0,82.0,4.0,Elite
11851324,232486,Jackson Blake,CAR,F,Shots On Goal,2.5,,demon,False,PHI,PHI,CAR,2026-05-04T19:00:00.000-04:00,156720,2026-05-04T15:00:20Z,,shots_on_goal,SKATER,PHI,1,8482809,False,,2.963,0.0,0.0,3.049,0.0,0.0,82.0,9.0,Above Avg
11851344,60729,Rasmus Ristolainen,PHI,D,Shots On Goal,2.5,1.5,demon,False,CAR,PHI,CAR,2026-05-04T19:00:00.000-04:00,156720,2026-05-04T15:00:20Z,1.666667,shots_on_goal,SKATER,CAR,0,8477499,False,,2.927,0.0,0.0,3.61,0.0,0.0,82.0,4.0,Elite
11851358,226405,Taylor Hall,CAR,F,Shots On Goal,2.5,,demon,False,PHI,PHI,CAR,2026-05-04T19:00:00.000-04:00,156720,2026-05-04T15:00:20Z,,shots_on_goal,SKATER,PHI,1,8447463,False,,2.963,0.0,0.0,3.049,0.0,0.0,82.0,9.0,Above Avg
11851362,218222,Travis Konecny,PHI,F,Shots On Goal,2.5,,demon,False,CAR,PHI,CAR,2026-05-04T19:00:00.000-04:00,156720,2026-05-04T15:00:20Z,,shots_on_goal,SKATER,CAR,0,8478439,False,,2.927,0.0,0.0,3.61,0.0,0.0,82.0,4.0,Elite
11851366,268081,Trevor Zegras,PHI,F,Shots On Goal,2.5,1.5,demon,False,CAR,PHI,CAR,2026-05-04T19:00:00.000-04:00,156720,2026-05-04T15:00:20Z,1.666667,shots_on_goal,SKATER,CAR,0,8481533,False,,2.927,0.0,0.0,3.61,0.0,0.0,82.0,4.0,Elite
11851368,126919,Tyson Foerster,PHI,F,Shots On Goal,2.5,,demon,False,CAR,PHI,CAR,2026-05-04T19:00:00.000-04:00,156720,2026-05-04T15:00:20Z,,shots_on_goal,SKATER,CAR,0,8482159,False,,2.927,0.0,0.0,3.61,0.0,0.0,82.0,4.0,Elite
11851413,218298,Jordan Staal,CAR,F,Shots On Goal,2.5,1.5,demon,False,PHI,PHI,CAR,2026-05-04T19:00:00.000-04:00,156720,2026-05-04T15:00:20Z,1.666667,shots_on_goal,SKATER,PHI,1,8473533,False,,2.963,0.0,0.0,3.049,0.0,0.0,82.0,9.0,Above Avg
